time_unix,x,y,heading,velocity_cmd
1749039388.979859,1.224,2.070,-3.043,0.000
1749039389.079311,1.224,2.070,-3.043,0.000
1749039389.277692,1.224,2.070,-3.043,0.000
1749039389.377116,1.224,2.070,-3.043,0.000
1749039389.576586,1.224,2.070,-3.043,0.000
1749039389.775633,1.224,2.070,-3.043,0.000
1749039389.875057,1.224,2.070,-3.043,0.000
1749039390.074465,1.224,2.070,-3.043,0.000
1749039390.174359,1.224,2.070,-3.043,0.000
1749039390.373251,1.224,2.070,-3.043,0.000
1749039390.472610,1.224,2.070,-3.043,0.000
1749039390.572464,1.224,2.070,-3.043,0.000
1749039390.771640,1.224,2.070,-3.043,0.000
1749039390.871777,1.224,2.070,-3.043,0.000
1749039391.070820,0.000,0.000,-0.000,0.000
1749039391.170508,0.000,0.000,0.000,0.000
1749039391.369736,0.000,0.000,0.000,0.000
1749039391.569037,0.000,0.000,0.000,0.000
1749039391.668172,0.000,0.000,0.000,0.000
1749039391.867442,0.000,0.000,0.000,0.000
1749039391.966969,0.000,0.000,0.001,0.000
1749039392.166085,0.003,0.000,0.003,0.000
1749039392.265727,0.008,0.000,0.006,0.000
1749039392.465713,0.039,0.000,0.025,0.000
1749039392.565387,0.061,0.001,0.034,0.000
1749039392.764374,0.111,0.003,0.037,0.000
1749039392.863891,0.141,0.004,0.025,0.000
1749039393.063454,0.206,0.005,-0.006,0.000
1749039393.162837,0.237,0.004,-0.020,0.000
1749039393.362590,0.298,0.002,-0.045,0.000
1749039393.462025,0.329,0.001,-0.050,0.000
1749039393.661174,0.388,-0.002,-0.021,0.000
1749039393.760930,0.418,-0.002,-0.003,0.000
1749039393.960254,0.482,-0.001,0.029,0.000
1749039394.059860,0.513,0.000,0.038,0.000
1749039394.258429,0.573,0.002,0.034,0.000
1749039394.358686,0.604,0.003,0.023,0.000
1749039394.557831,0.665,0.004,-0.002,0.000
1749039394.757047,0.727,0.003,-0.026,0.000
1749039394.856904,0.758,0.002,-0.036,0.000
1749039394.956168,0.788,0.001,-0.043,0.000
1749039395.155527,0.848,-0.001,-0.025,0.000
1749039395.254427,0.878,-0.002,-0.017,0.000
1749039395.453854,0.940,-0.003,0.004,0.000
1749039395.553686,0.971,-0.002,0.013,0.000
1749039395.752976,1.034,-0.001,0.026,0.000
1749039395.952576,1.094,0.001,0.028,0.000
1749039396.152448,1.156,0.002,0.012,0.000
1749039396.351193,1.217,0.002,-0.008,0.000
1749039396.451028,1.249,0.002,-0.005,0.000
1749039396.651225,1.315,0.005,0.123,0.000
1749039396.750362,1.348,0.011,0.242,0.000
1749039396.849791,1.379,0.020,0.363,0.000
1749039397.049388,1.430,0.046,0.538,0.000
1749039397.148301,1.453,0.060,0.579,0.000
1749039397.348709,1.503,0.095,0.632,0.000
1749039397.447961,1.527,0.113,0.664,0.000
1749039397.647240,1.575,0.154,0.778,0.000
1749039397.846883,1.616,0.202,0.938,0.000
1749039397.945915,1.633,0.227,1.016,0.000
1749039398.145338,1.660,0.280,1.157,0.000
1749039398.244198,1.671,0.307,1.206,0.000
1749039398.443412,1.690,0.365,1.300,0.000
1749039398.542986,1.698,0.395,1.349,0.000
1749039398.741277,1.708,0.454,1.455,0.000
1749039398.840814,1.711,0.484,1.521,0.000
1749039399.039664,1.710,0.546,1.639,0.000
1749039399.139426,1.707,0.577,1.658,0.000
1749039399.340101,1.703,0.637,1.624,0.000
1749039399.439282,1.702,0.669,1.596,0.000
1749039399.638078,1.702,0.730,1.541,0.000
1749039399.737794,1.703,0.761,1.526,0.000
1749039399.937015,1.705,0.820,1.541,0.000
1749039400.036842,1.706,0.851,1.548,0.000
1749039400.235307,1.707,0.912,1.575,0.000
1749039400.334896,1.706,0.944,1.590,0.000
1749039400.532976,1.704,1.007,1.606,0.000
1749039400.632380,1.703,1.036,1.606,0.000
1749039400.831333,1.702,1.097,1.593,0.000
1749039400.931235,1.701,1.127,1.585,0.000
1749039401.130874,1.700,1.190,1.573,0.000
1749039401.229938,1.701,1.220,1.565,0.000
1749039401.430527,1.701,1.282,1.556,0.000
1749039401.529517,1.702,1.313,1.554,0.000
1749039401.728902,1.702,1.371,1.567,0.000
1749039401.828999,1.702,1.403,1.577,0.000
1749039402.028108,1.702,1.464,1.595,0.000
1749039402.127930,1.701,1.496,1.601,0.000
1749039402.326644,1.699,1.557,1.609,0.000
1749039402.426659,1.697,1.588,1.609,0.000
1749039402.626174,1.695,1.648,1.595,0.000
1749039402.825097,1.695,1.710,1.572,0.000
1749039402.925553,1.695,1.741,1.561,0.000
1749039403.125121,1.696,1.803,1.547,0.000
1749039403.323841,1.697,1.861,1.550,0.000
1749039403.423977,1.698,1.893,1.557,0.000
1749039403.622645,1.698,1.953,1.587,0.000
1749039403.722301,1.697,1.985,1.598,0.000
1749039403.922254,1.695,2.047,1.614,0.000
1749039404.021377,1.693,2.078,1.617,0.000
1749039404.220894,1.691,2.139,1.603,0.000
1749039404.319965,1.690,2.169,1.590,0.000
1749039404.519566,1.690,2.231,1.568,0.000
1749039404.618918,1.690,2.262,1.558,0.000
1749039404.818329,1.691,2.322,1.547,0.000
1749039404.917777,1.692,2.350,1.552,0.000
1749039405.017993,1.692,2.381,1.560,0.000
1749039405.216982,1.692,2.442,1.584,0.000
1749039405.415963,1.691,2.506,1.600,0.000
1749039405.515717,1.690,2.537,1.608,0.000
1749039405.714216,1.687,2.599,1.614,0.000
1749039405.812801,1.686,2.628,1.610,0.000
1749039406.013686,1.684,2.689,1.587,0.000
1749039406.113475,1.684,2.720,1.576,0.000
1749039406.311756,1.684,2.782,1.557,0.000
1749039406.410969,1.685,2.813,1.552,0.000
1749039406.611440,1.686,2.871,1.559,0.000
1749039406.711637,1.686,2.902,1.564,0.000
1749039406.910246,1.686,2.964,1.580,0.000
1749039407.010221,1.685,2.995,1.589,0.000
1749039407.210129,1.684,3.058,1.603,0.000
1749039407.309692,1.683,3.089,1.607,0.000
1749039407.508609,1.680,3.149,1.610,0.000
1749039407.608584,1.679,3.179,1.607,0.000
1749039407.807328,1.678,3.241,1.592,0.000
1749039407.906822,1.677,3.271,1.580,0.000
1749039408.106010,1.677,3.332,1.560,0.000
1749039408.205354,1.678,3.363,1.553,0.000
1749039408.404415,1.679,3.424,1.548,0.000
1749039408.604099,1.680,3.484,1.561,0.000
1749039408.703908,1.680,3.515,1.570,0.000
1749039408.804004,1.680,3.545,1.576,0.000
1749039409.003171,1.681,3.607,1.500,0.000
1749039409.103018,1.685,3.638,1.394,0.000
1749039409.302080,1.704,3.700,1.155,0.000
1749039409.401290,1.717,3.727,1.080,0.000
1749039409.601023,1.747,3.778,1.008,0.000
1749039409.701132,1.765,3.804,0.969,0.000
1749039409.900087,1.803,3.855,0.875,0.000
1749039409.999185,1.823,3.878,0.813,0.000
1749039410.198651,1.868,3.919,0.663,0.000
1749039410.298011,1.893,3.937,0.588,0.000
1749039410.497211,1.947,3.967,0.444,0.000
1749039410.597096,1.974,3.979,0.386,0.000
1749039410.795981,2.031,3.999,0.292,0.000
1749039410.995327,2.091,4.014,0.193,0.000
1749039411.094464,2.122,4.019,0.141,0.000
1749039411.293973,2.182,4.024,0.020,0.000
1749039411.393383,2.213,4.024,-0.053,0.000
1749039411.591627,2.274,4.016,-0.198,0.000
1749039411.691727,2.304,4.009,-0.268,0.000
1749039411.890168,2.361,3.989,-0.396,0.000
1749039411.990023,2.389,3.977,-0.452,0.000
1749039412.089561,2.416,3.963,-0.501,0.000
1749039412.289544,2.468,3.931,-0.600,0.000
1749039412.388048,2.492,3.913,-0.652,0.000
1749039412.588028,2.539,3.873,-0.762,0.000
1749039412.687469,2.561,3.851,-0.822,0.000
1749039412.886488,2.600,3.803,-0.963,0.000
1749039413.085077,2.631,3.751,-1.107,0.000
1749039413.184606,2.643,3.723,-1.175,0.000
1749039413.384387,2.663,3.666,-1.300,0.000
1749039413.482993,2.670,3.637,-1.355,0.000
1749039413.681669,2.681,3.576,-1.449,0.000
1749039413.782191,2.684,3.545,-1.498,0.000
1749039413.982242,2.685,3.483,-1.601,0.000
1749039414.081736,2.683,3.451,-1.640,0.000
1749039414.280680,2.678,3.381,-1.630,0.000
1749039414.380746,2.676,3.338,-1.603,0.000
1749039414.579303,2.676,3.254,-1.558,0.000
1749039414.679410,2.677,3.213,-1.541,0.000
1749039414.878404,2.680,3.131,-1.530,0.000
1749039414.977465,2.681,3.092,-1.546,0.000
1749039415.177130,2.681,3.010,-1.587,0.000
1749039415.276421,2.680,2.970,-1.607,0.000
1749039415.476361,2.676,2.888,-1.628,0.000
1749039415.575636,2.674,2.849,-1.616,0.000
1749039415.774561,2.671,2.767,-1.588,0.000
1749039415.874991,2.671,2.724,-1.572,0.000
1749039416.073179,2.672,2.642,-1.556,0.000
1749039416.272384,2.673,2.561,-1.550,0.000
1749039416.371649,2.674,2.521,-1.555,0.000
1749039416.471545,2.675,2.481,-1.566,0.000
1749039416.671514,2.674,2.402,-1.587,0.000
1749039416.770437,2.673,2.368,-1.592,0.000
1749039416.969239,2.672,2.310,-1.587,0.000
1749039417.069492,2.672,2.280,-1.582,0.000
1749039417.267537,2.672,2.220,-1.564,0.000
1749039417.367109,2.672,2.189,-1.557,0.000
1749039417.567501,2.673,2.125,-1.542,0.000
1749039417.667131,2.674,2.094,-1.536,0.000
1749039417.865264,2.677,2.034,-1.533,0.000
1749039418.064252,2.679,1.974,-1.547,0.000
1749039418.164357,2.679,1.942,-1.550,0.000
1749039418.363206,2.683,1.877,-1.447,0.000
1749039418.462374,2.689,1.844,-1.327,0.000
1749039418.661314,2.710,1.788,-1.100,0.000
1749039418.760913,2.724,1.763,-1.028,0.000
1749039418.960743,2.756,1.714,-0.960,0.000
1749039419.059554,2.774,1.690,-0.932,0.000
1749039419.259160,2.813,1.641,-0.840,0.000
1749039419.358481,2.834,1.619,-0.764,0.000
1749039419.558586,2.882,1.580,-0.610,0.000
1749039419.658094,2.907,1.564,-0.540,0.000
1749039419.858403,2.963,1.535,-0.419,0.000
1749039420.058201,3.021,1.513,-0.318,0.000
1749039420.158116,3.050,1.504,-0.264,0.000
1749039420.258099,3.079,1.497,-0.207,0.000
1749039420.457293,3.139,1.488,-0.082,0.000
1749039420.556686,3.169,1.487,-0.016,0.000
1749039420.755135,3.229,1.489,0.079,0.000
1749039420.855192,3.258,1.491,0.044,0.000
1749039421.054247,3.315,1.488,-0.183,0.000
1749039421.153427,3.347,1.480,-0.317,0.000
1749039421.352955,3.406,1.454,-0.476,0.000
1749039421.452755,3.433,1.440,-0.496,0.000
1749039421.651748,3.487,1.408,-0.556,0.000
1749039421.750701,3.513,1.391,-0.603,0.000
1749039421.949707,3.561,1.353,-0.758,0.000
1749039422.148667,3.602,1.307,-0.921,0.000
1749039422.248234,3.620,1.282,-0.993,0.000
1749039422.448174,3.650,1.230,-1.095,0.000
1749039422.548160,3.663,1.203,-1.133,0.000
1749039422.748582,3.687,1.145,-1.225,0.000
1749039422.847492,3.697,1.116,-1.281,0.000
1749039423.046064,3.710,1.056,-1.420,0.000
1749039423.145481,3.714,1.025,-1.495,0.000
1749039423.246375,3.715,0.994,-1.569,0.000
1749039423.444448,3.711,0.934,-1.707,0.000
1749039423.543289,3.706,0.904,-1.766,0.000
1749039423.741927,3.691,0.845,-1.867,0.000
1749039423.842321,3.681,0.816,-1.917,0.000
1749039424.041571,3.657,0.759,-2.022,0.000
1749039424.240273,3.628,0.706,-2.133,0.000
1749039424.339633,3.611,0.681,-2.197,0.000
1749039424.539042,3.571,0.633,-2.338,0.000
1749039424.638621,3.549,0.612,-2.410,0.000
1749039424.838421,3.501,0.574,-2.548,0.000
1749039424.937800,3.475,0.558,-2.611,0.000
1749039425.137509,3.421,0.530,-2.717,0.000
1749039425.236455,3.393,0.519,-2.766,0.000
1749039425.435090,3.335,0.499,-2.867,0.000
1749039425.535637,3.304,0.491,-2.922,0.000
1749039425.734759,3.244,0.482,-3.043,0.000
1749039425.933242,3.184,0.480,3.115,0.000
1749039426.033448,3.152,0.481,3.122,0.000
1749039426.231580,3.086,0.475,-2.920,0.000
1749039426.330599,3.055,0.466,-2.776,0.000
1749039426.530707,3.006,0.441,-2.589,0.000
1749039426.629680,2.982,0.426,-2.566,0.000
1749039426.830764,2.931,0.392,-2.543,0.000
1749039426.929712,2.905,0.374,-2.509,0.000
1749039427.128306,2.857,0.333,-2.365,0.000
1749039427.228379,2.834,0.309,-2.270,0.000
1749039427.327658,2.816,0.285,-2.184,0.000
1749039427.528103,2.787,0.236,-2.044,0.000
1749039427.627431,2.774,0.209,-1.997,0.000
1749039427.826665,2.750,0.151,-1.920,0.000
1749039428.025942,2.732,0.092,-1.819,0.000
1749039428.125667,2.725,0.063,-1.755,0.000
1749039428.324908,2.719,0.003,-1.607,0.000
1749039428.424397,2.719,-0.027,-1.539,0.000
1749039428.624360,2.724,-0.089,-1.425,0.000
1749039428.724012,2.730,-0.120,-1.373,0.000
1749039428.923296,2.745,-0.180,-1.262,0.000
1749039429.023173,2.755,-0.208,-1.203,0.000
1749039429.222474,2.780,-0.262,-1.070,0.000
1749039429.321944,2.797,-0.290,-1.006,0.000
1749039429.521547,2.833,-0.340,-0.893,0.000
1749039429.621023,2.852,-0.363,-0.834,0.000
1749039429.720289,2.873,-0.385,-0.774,0.000
1749039429.919289,2.918,-0.424,-0.653,0.000
1749039430.117689,2.969,-0.458,-0.529,0.000
1749039430.217403,2.997,-0.473,-0.469,0.000
1749039430.417305,3.054,-0.498,-0.350,0.000
1749039430.516963,3.084,-0.508,-0.291,0.000
1749039430.716031,3.143,-0.522,-0.167,0.000
1749039430.815328,3.172,-0.526,-0.110,0.000
1749039431.014391,3.235,-0.529,0.011,0.000
1749039431.114280,3.265,-0.528,0.066,0.000
1749039431.313351,3.324,-0.522,0.102,0.000
1749039431.412722,3.353,-0.519,0.081,0.000
1749039431.612325,3.417,-0.516,0.033,0.000
1749039431.711710,3.447,-0.515,0.012,0.000
1749039431.910448,3.507,-0.515,-0.007,0.000
1749039432.010040,3.537,-0.515,-0.003,0.000
1749039432.209581,3.599,-0.515,0.024,0.000
1749039432.309296,3.629,-0.514,0.042,0.000
1749039432.508471,3.691,-0.511,0.066,0.000
1749039432.608244,3.722,-0.508,0.069,0.000
1749039432.807166,3.784,-0.504,0.062,0.000
1749039432.906988,3.817,-0.502,0.076,0.000
1749039433.105739,3.884,-0.493,0.231,0.000
1749039433.304654,3.943,-0.471,0.476,0.000
1749039433.404586,3.967,-0.457,0.571,0.000
1749039433.604089,4.012,-0.424,0.660,0.000
1749039433.702979,4.036,-0.405,0.674,0.000
1749039433.901941,4.084,-0.365,0.744,0.000
1749039434.001042,4.107,-0.343,0.810,0.000
1749039434.100268,4.127,-0.320,0.889,0.000
1749039434.299031,4.161,-0.270,1.052,0.000
1749039434.398134,4.175,-0.244,1.123,0.000
1749039434.596978,4.198,-0.188,1.223,0.000
1749039434.697405,4.208,-0.158,1.273,0.000
1749039434.897610,4.223,-0.099,1.378,0.000
1749039434.997349,4.228,-0.070,1.434,0.000
1749039435.197162,4.232,-0.011,1.573,0.000
1749039435.395069,4.228,0.052,1.689,0.000
1749039435.494391,4.224,0.082,1.714,0.000
1749039435.695150,4.217,0.135,1.681,0.000
1749039435.793981,4.215,0.157,1.654,0.000
1749039435.993359,4.212,0.197,1.610,0.000
1749039436.092524,4.211,0.216,1.598,0.000
1749039436.291363,4.210,0.254,1.611,0.000
1749039436.391021,4.209,0.275,1.621,0.000
1749039436.590898,4.207,0.316,1.652,0.000
1749039436.690393,4.205,0.337,1.664,0.000
1749039436.889144,4.200,0.378,1.679,0.000
1749039436.989123,4.198,0.399,1.679,0.000
1749039437.089043,4.196,0.419,1.671,0.000
1749039437.287482,4.192,0.460,1.650,0.000
1749039437.486381,4.190,0.501,1.631,0.000
1749039437.586020,4.188,0.522,1.623,0.000
1749039437.784669,4.187,0.561,1.615,0.000
1749039437.884339,4.186,0.580,1.621,0.000
1749039438.083479,4.183,0.621,1.640,0.000
1749039438.183901,4.182,0.641,1.650,0.000
1749039438.382858,4.178,0.682,1.663,0.000
1749039438.482750,4.176,0.704,1.670,0.000
1749039438.681567,4.172,0.745,1.679,0.000
1749039438.781388,4.170,0.765,1.678,0.000
1749039438.980387,4.166,0.805,1.662,0.000
1749039439.079910,4.164,0.826,1.652,0.000
1749039439.279111,4.161,0.866,1.634,0.000
1749039439.379214,4.160,0.888,1.628,0.000
1749039439.578083,4.158,0.928,1.620,0.000
1749039439.677595,4.157,0.947,1.624,0.000
1749039439.876625,4.154,0.987,1.633,0.000
1749039439.976254,4.153,1.007,1.643,0.000
1749039440.175428,4.150,1.049,1.661,0.000
1749039440.275122,4.148,1.071,1.668,0.000
1749039440.474445,4.143,1.112,1.678,0.000
1749039440.673888,4.139,1.151,1.676,0.000
1749039440.773484,4.137,1.170,1.668,0.000
1749039440.972505,4.133,1.212,1.648,0.000
1749039441.071924,4.132,1.232,1.638,0.000
1749039441.271254,4.130,1.274,1.621,0.000
1749039441.371221,4.129,1.294,1.615,0.000
1749039441.470633,4.128,1.312,1.619,0.000
1749039441.670245,4.125,1.352,1.636,0.000
1749039441.769787,4.124,1.374,1.644,0.000
1749039441.969132,4.121,1.414,1.658,0.000
1749039442.068570,4.119,1.435,1.664,0.000
1749039442.367224,4.113,1.497,1.677,0.000
1749039442.566498,4.108,1.538,1.676,0.000
1749039442.666211,4.106,1.558,1.669,0.000
1749039442.865178,4.103,1.598,1.648,0.000
1749039442.964388,4.101,1.618,1.638,0.000
1749039443.064171,4.100,1.639,1.630,0.000
1749039443.263678,4.098,1.680,1.618,0.000
1749039443.363320,4.097,1.699,1.620,0.000
1749039443.561845,4.094,1.739,1.636,0.000
1749039443.761514,4.092,1.780,1.651,0.000
1749039443.861006,4.090,1.802,1.660,0.000
1749039444.060514,4.086,1.843,1.673,0.000
1749039444.160235,4.084,1.864,1.676,0.000
1749039444.359458,4.079,1.904,1.679,0.000
1749039444.459006,4.077,1.924,1.675,0.000
1749039444.658248,4.073,1.964,1.658,0.000
1749039444.757726,4.072,1.984,1.649,0.000
1749039444.957157,4.069,2.026,1.630,0.000
1749039445.056231,4.068,2.047,1.625,0.000
1749039445.254916,4.064,2.089,1.714,0.000
1749039445.353784,4.059,2.113,1.849,0.000
1749039445.551102,4.042,2.152,2.117,0.000
1749039445.649992,4.032,2.166,2.203,0.000
1749039445.849458,4.011,2.193,2.273,0.000
1749039445.949823,3.998,2.208,2.299,0.000
1749039446.149217,3.968,2.239,2.394,0.000
1749039446.249551,3.951,2.253,2.464,0.000
1749039446.449276,3.915,2.278,2.637,0.000
1749039446.549487,3.895,2.288,2.720,0.000
1749039446.748925,3.857,2.301,2.874,0.000
1749039446.947924,3.822,2.308,3.006,0.000
1749039447.047531,3.803,2.310,3.061,0.000
1749039447.246937,3.761,2.312,-3.122,0.000
1749039447.346999,3.740,2.311,-3.063,0.000
1749039447.446330,3.720,2.309,-3.025,0.000
1749039447.645710,3.681,2.304,-3.015,0.000
1749039447.745326,3.661,2.301,-3.034,0.000
1749039447.944992,3.619,2.298,-3.078,0.000
1749039448.044656,3.598,2.297,-3.096,0.000
1749039448.243647,3.558,2.295,-3.117,0.000
1749039448.343221,3.540,2.295,-3.108,0.000
1749039448.542213,3.498,2.293,-3.083,0.000
1749039448.641773,3.479,2.292,-3.070,0.000
1749039448.841323,3.437,2.288,-3.047,0.000
1749039449.040461,3.395,2.284,-3.045,0.000
1749039449.139774,3.375,2.282,-3.051,0.000
1749039449.339596,3.334,2.279,-3.067,0.000
1749039449.439121,3.313,2.277,-3.074,0.000
1749039449.638363,3.272,2.275,-3.087,0.000
1749039449.738374,3.252,2.274,-3.092,0.000
1749039449.937321,3.211,2.272,-3.101,0.000
1749039450.036561,3.192,2.271,-3.095,0.000
1749039450.235848,3.151,2.269,-3.082,0.000
1749039450.335881,3.131,2.268,-3.071,0.000
1749039450.435233,3.110,2.266,-3.063,0.000
1749039450.634707,3.068,2.263,-3.050,0.000
1749039450.734147,3.048,2.261,-3.046,0.000
1749039450.933528,3.009,2.257,-3.046,0.000
1749039451.132486,2.968,2.253,-3.066,0.000
1749039451.231939,2.947,2.252,-3.075,0.000
1749039451.431585,2.905,2.249,-3.091,0.000
1749039451.530884,2.884,2.248,-3.098,0.000
1749039451.730113,2.847,2.247,-3.090,0.000
1749039451.829548,2.828,2.246,-3.085,0.000
1749039452.028745,2.785,2.243,-3.071,0.000
1749039452.128665,2.764,2.241,-3.067,0.000
1749039452.327379,2.722,2.238,-3.058,0.000
1749039452.426693,2.698,2.236,-3.053,0.000
1749039452.625814,2.642,2.231,-3.043,0.000
1749039452.726051,2.609,2.227,-3.041,0.000
1749039452.924817,2.532,2.220,-3.046,0.000
1749039453.024678,2.489,2.216,-3.053,0.000
1749039453.223554,2.406,2.209,-3.068,0.000
1749039453.323733,2.365,2.206,-3.076,0.000
1749039453.522527,2.283,2.201,-3.087,0.000
1749039453.622104,2.242,2.199,-3.090,0.000
1749039453.821341,2.163,2.195,-3.083,0.000
1749039453.921162,2.121,2.192,-3.080,0.000
1749039454.119319,2.042,2.186,-3.058,0.000
1749039454.219420,2.000,2.183,-3.049,0.000
1749039454.418120,1.917,2.175,-3.038,0.000
1749039454.517697,1.877,2.170,-3.034,0.000
1749039454.717573,1.796,2.162,-3.040,0.000
1749039454.816857,1.756,2.158,-3.051,0.000
1749039455.015918,1.674,2.151,-3.073,0.000
1749039455.115872,1.633,2.149,-3.083,0.000
1749039455.314987,1.551,2.145,-3.099,0.000
1749039455.414697,1.512,2.143,-3.095,0.000
1749039455.812776,1.349,2.132,-3.051,0.000
1749039456.011836,1.266,2.124,-3.036,0.000
1749039456.111744,1.226,2.119,-3.030,0.000
1749039456.310653,1.194,2.117,-3.074,0.000
1749039456.410125,1.195,2.117,-3.069,0.000
1749039456.609284,1.196,2.117,-3.062,0.000
1749039456.709299,1.196,2.117,-3.060,0.000
1749039456.808953,1.196,2.117,-3.058,0.000
1749039457.008056,1.197,2.117,-3.046,0.000
1749039457.107297,1.197,2.117,-3.044,0.000
1749039457.306505,1.197,2.117,-3.042,0.000
1749039457.505730,1.197,2.117,-3.038,0.000
1749039457.605138,1.197,2.117,-3.032,0.000
1749039457.803676,1.197,2.117,-3.006,0.000
1749039457.902955,1.197,2.117,-3.003,0.000
1749039458.102485,1.197,2.117,-3.003,0.000
1749039458.201981,1.197,2.117,-3.003,0.000
1749039458.401490,1.197,2.117,-3.004,0.000
1749039458.500687,1.197,2.117,-3.005,0.000
1749039458.700176,1.198,2.117,-3.007,0.000
1749039458.799464,1.198,2.117,-3.008,0.000
1749039458.998394,1.198,2.117,-3.010,0.000
1749039459.098429,1.199,2.117,-3.013,0.000
1749039459.297842,1.200,2.117,-3.024,0.000
1749039459.397430,1.201,2.117,-3.032,0.000
1749039459.596556,1.202,2.117,-3.032,0.000
1749039459.696350,1.202,2.117,-3.032,0.000
1749039459.895337,1.202,2.117,-3.032,0.000
1749039459.995113,1.202,2.117,-3.032,0.000
1749039460.194170,1.202,2.117,-3.032,0.000
1749039460.293765,1.202,2.117,-3.032,0.000
1749039460.492915,1.202,2.117,-3.032,0.000
1749039460.692426,1.202,2.117,-3.032,0.000
1749039460.791713,1.202,2.117,-3.032,0.000
1749039460.891379,1.202,2.117,-3.032,0.000
1749039461.090779,1.202,2.117,-3.032,0.000
1749039461.190241,1.202,2.117,-3.032,0.000
1749039461.389367,1.202,2.117,-3.032,0.000
1749039461.488943,1.202,2.117,-3.032,0.000
1749039461.688443,1.202,2.117,-3.032,0.000
1749039461.787866,1.202,2.117,-3.032,0.000
1749039461.987006,1.202,2.117,-3.032,0.000
1749039462.086681,1.202,2.117,-3.032,0.000
1749039462.285747,1.202,2.117,-3.032,0.000
1749039462.384986,1.202,2.117,-3.032,0.000
1749039462.584651,1.202,2.117,-3.032,0.000
1749039462.783722,1.202,2.117,-3.032,0.000
1749039462.883225,1.202,2.117,-3.032,0.000
1749039463.082445,1.202,2.117,-3.032,0.000
1749039463.182066,1.202,2.117,-3.032,0.000
1749039463.381427,1.202,2.117,-3.032,0.000
1749039463.481048,1.202,2.117,-3.032,0.000
1749039463.680390,1.202,2.117,-3.032,0.000
1749039463.779176,1.202,2.117,-3.032,0.000
