Time,v_l,v_r,u0,u1,u2,e0,e1,e2
1749038153.4607250690,0.403,0.397,0.400,0.400,0.000,0.096,0.096,0.000
1749038153.5611469746,0.000,0.000,0.000,0.000,0.400,0.097,0.097,0.096
1749038153.6613581181,0.141,0.137,0.139,0.139,0.000,0.097,0.097,0.097
1749038153.7615110874,0.072,0.069,0.070,0.070,0.139,0.097,0.097,0.097
1749038153.8617749214,0.092,0.089,0.091,0.091,0.070,0.095,0.095,0.097
1749038153.9619410038,0.092,0.088,0.090,0.090,0.091,0.096,0.096,0.095
1749038154.0621058941,0.083,0.079,0.081,0.081,0.090,0.095,0.095,0.096
1749038154.1623320580,0.097,0.093,0.095,0.095,0.081,0.096,0.096,0.095
1749038154.2627561092,0.078,0.075,0.076,0.076,0.095,0.095,0.095,0.096
1749038154.3630969524,0.104,0.100,0.102,0.102,0.076,0.097,0.097,0.095
1749038154.4633688927,0.081,0.078,0.079,0.079,0.102,0.096,0.096,0.097
1749038154.5637478828,0.096,0.092,0.094,0.094,0.079,0.097,0.097,0.096
1749038154.6640720367,0.079,0.075,0.077,0.077,0.094,0.096,0.096,0.097
1749038154.7643630505,0.106,0.101,0.104,0.104,0.077,0.098,0.098,0.096
1749038154.8647460938,0.073,0.070,0.072,0.072,0.104,0.096,0.096,0.098
1749038154.9650530815,0.104,0.100,0.102,0.102,0.072,0.097,0.097,0.096
1749038155.0653979778,0.084,0.080,0.082,0.082,0.102,0.097,0.097,0.097
1749038155.1656470299,0.091,0.087,0.089,0.089,0.082,0.097,0.097,0.097
1749038155.2659299374,0.088,0.085,0.087,0.087,0.089,0.097,0.097,0.097
1749038155.3662478924,0.093,0.089,0.091,0.091,0.087,0.097,0.097,0.097
1749038155.4665939808,0.087,0.083,0.085,0.085,0.091,0.097,0.097,0.097
1749038155.5669310093,0.092,0.088,0.090,0.090,0.085,0.097,0.097,0.097
1749038155.6672310829,0.085,0.081,0.083,0.083,0.090,0.097,0.097,0.097
1749038155.7675600052,0.095,0.091,0.093,0.093,0.083,0.097,0.097,0.097
1749038155.8678998947,0.085,0.081,0.083,0.083,0.093,0.097,0.097,0.097
