Time,Angle,Distance,Robot_X,Robot_Y,Robot_Heading_deg,Centroid_X,Centroid_Y,ClusterSize,Velocity_cmd
1749038156.7914640903,-3.96,0.388,0.000,0.000,0.00,0.387,-0.027,103,0.400
1749038156.8919279575,-3.96,0.388,0.000,0.000,0.00,0.387,-0.027,103,0.000
1749038156.9922599792,-3.96,0.387,0.003,0.000,0.06,0.389,-0.026,103,0.157
1749038157.0926260948,-3.96,0.389,0.012,0.000,-0.06,0.400,-0.027,104,0.119
1749038157.1929891109,-3.96,0.388,0.023,0.000,-0.17,0.410,-0.028,107,0.123
1749038157.2932350636,-3.96,0.388,0.035,-0.000,-0.23,0.422,-0.028,110,0.125
1749038157.3936340809,-3.96,0.388,0.048,-0.000,-0.40,0.435,-0.030,113,0.126
1749038157.4939570427,-4.14,0.375,0.060,-0.000,-0.57,0.434,-0.031,116,0.031
1749038157.5943090916,-3.96,0.367,0.072,-0.000,-0.74,0.438,-0.030,120,0.100
1749038157.6946580410,-3.78,0.354,0.084,-0.001,-0.92,0.437,-0.030,123,0.025
1749038157.7950019836,-3.60,0.343,0.092,-0.001,-1.03,0.434,-0.029,126,0.055
1749038157.8953800201,-3.42,0.333,0.098,-0.001,-1.15,0.430,-0.028,129,0.038
1749038157.9956920147,-3.42,0.322,0.103,-0.001,-1.26,0.423,-0.027,131,0.020
1749038158.0959880352,-3.24,0.311,0.106,-0.001,-1.26,0.416,-0.025,132,0.021
1749038158.1963419914,-3.06,0.304,0.109,-0.001,-1.38,0.412,-0.024,134,0.029
1749038158.2966680527,-2.88,0.298,0.112,-0.001,-1.38,0.409,-0.023,136,0.028
1749038158.3970820904,-2.88,0.296,0.114,-0.001,-1.38,0.409,-0.023,136,0.040
1749038158.4974069595,-2.70,0.292,0.116,-0.001,-1.38,0.407,-0.022,136,0.023
1749038158.5977530479,-2.70,0.289,0.119,-0.001,-1.43,0.407,-0.022,138,0.024
1749038158.6980900764,-2.70,0.288,0.123,-0.001,-1.49,0.410,-0.022,139,0.037
