time_unix,x,y,heading,velocity_cmd
1749039064.779549,1.078,2.152,-3.036,0.000
1749039064.879664,1.078,2.152,-3.036,0.000
1749039065.078589,1.078,2.152,-3.036,0.000
1749039065.177978,1.078,2.152,-3.036,0.000
1749039065.377236,1.078,2.152,-3.036,0.000
1749039065.476867,1.078,2.152,-3.036,0.000
1749039065.676029,1.078,2.152,-3.036,0.000
1749039065.775624,1.078,2.152,-3.036,0.000
1749039065.975217,1.078,2.152,-3.036,0.000
1749039066.074561,1.078,2.152,-3.036,0.000
1749039066.273680,1.078,2.152,-3.036,0.000
1749039066.373270,1.078,2.152,-3.036,0.000
1749039066.572272,1.078,2.152,-3.036,0.000
1749039066.672198,1.078,2.152,-3.036,0.000
1749039066.871393,-0.000,0.000,-0.000,0.000
1749039066.970691,0.000,0.000,0.000,0.000
1749039067.170051,0.000,0.000,0.000,0.000
1749039067.369617,0.000,0.000,0.000,0.000
1749039067.469617,0.000,0.000,0.000,0.000
1749039067.568615,0.000,0.000,0.000,0.000
1749039067.768094,0.000,0.000,0.001,0.000
1749039067.966836,0.003,0.000,0.003,0.000
1749039068.066109,0.007,0.000,0.005,0.000
1749039068.265834,0.036,0.001,0.030,0.000
1749039068.364784,0.058,0.001,0.040,0.000
1749039068.564680,0.111,0.004,0.040,0.000
1749039068.664833,0.141,0.005,0.020,0.000
1749039068.764085,0.173,0.005,-0.000,0.000
1749039068.963401,0.237,0.004,-0.035,0.000
1749039069.162540,0.297,0.001,-0.049,0.000
1749039069.262512,0.327,-0.000,-0.043,0.000
1749039069.362238,0.357,-0.001,-0.023,0.000
1749039069.561265,0.420,-0.002,0.014,0.000
1749039069.759939,0.482,0.000,0.039,0.000
1749039069.859435,0.512,0.001,0.040,0.000
1749039070.058964,0.572,0.003,0.025,0.000
1749039070.158523,0.603,0.004,0.013,0.000
1749039070.358200,0.665,0.004,-0.014,0.000
1749039070.457737,0.696,0.003,-0.025,0.000
1749039070.657153,0.757,0.001,-0.040,0.000
1749039070.756235,0.786,-0.000,-0.036,0.000
1749039070.955380,0.848,-0.002,-0.016,0.000
1749039071.054778,0.879,-0.002,-0.003,0.000
1749039071.254446,0.941,-0.002,0.015,0.000
1749039071.353729,0.972,-0.001,0.022,0.000
1749039071.553138,1.033,0.001,0.029,0.000
1749039071.653725,1.063,0.001,0.027,0.000
1749039071.852921,1.125,0.003,0.006,0.000
1749039071.952315,1.155,0.003,-0.006,0.000
1749039072.151938,1.217,0.002,-0.025,0.000
1749039072.251973,1.248,0.001,-0.020,0.000
1749039072.451148,1.314,0.003,0.122,0.000
1749039072.551067,1.347,0.009,0.239,0.000
1749039072.749934,1.404,0.030,0.443,0.000
1749039072.849873,1.429,0.042,0.513,0.000
1749039073.049382,1.479,0.073,0.581,0.000
1749039073.148789,1.505,0.091,0.613,0.000
1749039073.347826,1.553,0.128,0.705,0.000
1749039073.447543,1.576,0.149,0.774,0.000
1749039073.646404,1.617,0.195,0.924,0.000
1749039073.746741,1.634,0.220,0.999,0.000
1749039073.945184,1.663,0.273,1.129,0.000
1749039074.044688,1.676,0.301,1.181,0.000
1749039074.243990,1.696,0.358,1.280,0.000
1749039074.342718,1.704,0.387,1.330,0.000
1749039074.541892,1.715,0.447,1.444,0.000
1749039074.641167,1.718,0.477,1.508,0.000
1749039074.839379,1.718,0.538,1.626,0.000
1749039074.939915,1.716,0.569,1.646,0.000
1749039075.139913,1.711,0.629,1.615,0.000
1749039075.239354,1.711,0.660,1.580,0.000
1749039075.438465,1.712,0.722,1.524,0.000
1749039075.538035,1.714,0.753,1.511,0.000
1749039075.737101,1.717,0.813,1.526,0.000
1749039075.837094,1.718,0.843,1.541,0.000
1749039076.035834,1.719,0.906,1.568,0.000
1749039076.134698,1.719,0.937,1.576,0.000
1749039076.333342,1.718,0.999,1.588,0.000
1749039076.433416,1.718,1.029,1.592,0.000
1749039076.632635,1.717,1.090,1.581,0.000
1749039076.731825,1.716,1.120,1.574,0.000
1749039076.931000,1.717,1.181,1.560,0.000
1749039077.031195,1.717,1.212,1.553,0.000
1749039077.229553,1.719,1.274,1.541,0.000
1749039077.428916,1.721,1.334,1.543,0.000
1749039077.529078,1.721,1.364,1.550,0.000
1749039077.628109,1.722,1.395,1.554,0.000
1749039077.827158,1.722,1.456,1.571,0.000
1749039078.027375,1.722,1.519,1.587,0.000
1749039078.126314,1.721,1.550,1.592,0.000
1749039078.225606,1.720,1.580,1.595,0.000
1749039078.425450,1.719,1.641,1.594,0.000
1749039078.624769,1.718,1.702,1.575,0.000
1749039078.724763,1.718,1.733,1.564,0.000
1749039078.824281,1.718,1.764,1.554,0.000
1749039079.023967,1.720,1.825,1.539,0.000
1749039079.223811,1.722,1.885,1.534,0.000
1749039079.323177,1.723,1.915,1.536,0.000
1749039079.521788,1.725,1.976,1.561,0.000
1749039079.621267,1.725,2.008,1.572,0.000
1749039079.820936,1.724,2.070,1.588,0.000
1749039079.920181,1.723,2.101,1.594,0.000
1749039080.119484,1.722,2.162,1.601,0.000
1749039080.219377,1.721,2.192,1.597,0.000
1749039080.418693,1.720,2.253,1.580,0.000
1749039080.518184,1.720,2.284,1.568,0.000
1749039080.717275,1.720,2.345,1.546,0.000
1749039080.817268,1.721,2.375,1.537,0.000
1749039081.016109,1.723,2.431,1.533,0.000
1749039081.116030,1.725,2.461,1.535,0.000
1749039081.315261,1.726,2.521,1.562,0.000
1749039081.414270,1.726,2.550,1.576,0.000
1749039081.612582,1.725,2.605,1.600,0.000
1749039081.713380,1.724,2.636,1.609,0.000
1749039081.912332,1.722,2.698,1.604,0.000
1749039082.012072,1.721,2.729,1.590,0.000
1749039082.210771,1.720,2.791,1.561,0.000
1749039082.310998,1.721,2.822,1.548,0.000
1749039082.510190,1.723,2.883,1.531,0.000
1749039082.609465,1.724,2.911,1.533,0.000
1749039082.809282,1.726,2.963,1.554,0.000
1749039082.908896,1.726,2.989,1.564,0.000
1749039083.108271,1.726,3.047,1.584,0.000
1749039083.207768,1.725,3.079,1.594,0.000
1749039083.407617,1.723,3.141,1.600,0.000
1749039083.507102,1.723,3.171,1.596,0.000
1749039083.706258,1.722,3.232,1.576,0.000
1749039083.806444,1.722,3.263,1.566,0.000
1749039084.004969,1.722,3.324,1.545,0.000
1749039084.204047,1.725,3.386,1.532,0.000
1749039084.303870,1.726,3.416,1.534,0.000
1749039084.403605,1.727,3.445,1.539,0.000
1749039084.602550,1.728,3.507,1.561,0.000
1749039084.803076,1.728,3.568,1.557,0.000
1749039084.902529,1.729,3.598,1.493,0.000
1749039085.002036,1.733,3.627,1.381,0.000
1749039085.200411,1.753,3.688,1.149,0.000
1749039085.400926,1.781,3.742,1.043,0.000
1749039085.500419,1.797,3.767,1.012,0.000
1749039085.600701,1.814,3.793,0.974,0.000
1749039085.799124,1.851,3.843,0.874,0.000
1749039085.998255,1.894,3.888,0.725,0.000
1749039086.097688,1.918,3.908,0.647,0.000
1749039086.197334,1.944,3.925,0.571,0.000
1749039086.396400,1.996,3.954,0.440,0.000
1749039086.596012,2.051,3.977,0.350,0.000
1749039086.695079,2.080,3.987,0.303,0.000
1749039086.794335,2.110,3.995,0.253,0.000
1749039086.993082,2.171,4.008,0.142,0.000
1749039087.192524,2.232,4.012,0.004,0.000
1749039087.291474,2.263,4.011,-0.070,0.000
1749039087.489874,2.323,4.002,-0.214,0.000
1749039087.589378,2.353,3.995,-0.279,0.000
1749039087.789796,2.410,3.975,-0.394,0.000
1749039087.888748,2.437,3.963,-0.444,0.000
1749039088.086705,2.492,3.934,-0.538,0.000
1749039088.186611,2.518,3.917,-0.586,0.000
1749039088.385810,2.567,3.881,-0.701,0.000
1749039088.486117,2.590,3.860,-0.774,0.000
1749039088.684723,2.630,3.814,-0.922,0.000
1749039088.784743,2.648,3.789,-0.993,0.000
1749039088.984053,2.677,3.736,-1.127,0.000
1749039089.083696,2.690,3.708,-1.184,0.000
1749039089.281820,2.710,3.650,-1.280,0.000
1749039089.381552,2.718,3.621,-1.328,0.000
1749039089.580322,2.730,3.561,-1.431,0.000
1749039089.680527,2.733,3.530,-1.492,0.000
1749039089.880243,2.734,3.468,-1.624,0.000
1749039089.979935,2.731,3.437,-1.672,0.000
