angle_deg,distance_m
-120.00,1.692
-119.64,1.691
-119.28,1.689
-118.92,1.689
-118.56,1.691
-118.20,1.691
-117.84,1.690
-117.48,1.690
-117.12,1.690
-116.76,1.686
-116.40,1.687
-116.04,1.684
-115.68,1.681
-115.32,1.684
-114.96,1.687
-114.60,1.687
-114.24,1.688
-113.88,1.688
-113.52,1.690
-113.16,1.690
-112.80,1.690
-112.44,1.689
-112.08,1.690
-111.72,1.690
-111.36,1.692
-111.00,1.695
-110.64,1.700
-110.28,1.698
-109.92,1.700
-109.56,1.700
-109.20,1.700
-108.84,1.700
-108.48,1.707
-108.12,1.707
-107.76,1.707
-107.40,1.707
-107.04,1.711
-106.68,1.712
-106.32,1.716
-105.96,1.717
-105.60,1.717
-105.24,1.722
-104.88,1.727
-104.52,1.737
-104.16,1.738
-103.80,1.740
-103.44,1.740
-103.08,1.740
-102.72,1.747
-102.36,1.747
-102.00,1.748
-101.64,1.753
-101.28,1.757
-100.92,1.760
-100.56,1.761
-100.20,1.763
-99.84,1.770
-99.48,1.772
-99.12,1.776
-98.76,1.779
-98.40,1.785
-98.04,1.786
-97.68,1.796
-97.32,1.801
-96.96,1.806
-96.60,1.810
-96.24,1.813
-95.88,1.815
-95.52,1.834
-95.16,1.837
-94.80,1.841
-94.44,1.841
-94.08,1.846
-93.72,1.850
-93.36,1.859
-93.00,1.863
-92.64,1.866
-92.28,1.867
-91.92,1.880
-91.56,1.880
-91.20,1.887
-90.84,1.894
-90.48,1.906
-90.12,1.919
-89.76,1.925
-89.40,1.934
-89.04,1.935
-88.68,1.936
-88.32,1.939
-87.96,1.953
-87.60,1.967
-87.24,1.971
-86.88,1.985
-86.52,1.996
-86.16,2.006
-85.80,2.011
-85.44,2.024
-85.08,2.050
-84.72,2.053
-84.36,2.064
-84.00,2.080
-83.64,2.087
-83.28,2.090
-82.92,2.112
-82.56,2.116
-82.20,2.122
-81.84,2.139
-81.48,2.147
-81.12,2.151
-80.76,2.165
-80.40,2.173
-80.04,2.205
-79.68,2.221
-79.32,2.235
-78.96,2.248
-78.60,2.248
-78.24,2.248
-77.88,2.296
-77.52,2.296
-77.16,2.296
-76.80,2.278
-76.44,2.265
-76.08,2.248
-75.72,2.221
-75.36,2.203
-75.00,2.178
-74.64,2.174
-74.28,2.141
-73.92,2.127
-73.56,2.119
-73.20,2.099
-72.84,2.083
-72.48,2.071
-72.12,2.052
-71.76,2.032
-71.40,2.013
-71.04,2.002
-70.68,1.982
-70.32,1.970
-69.96,1.947
-69.60,1.942
-69.24,1.930
-68.88,1.908
-68.52,1.896
-68.16,1.889
-67.80,1.877
-67.44,1.857
-67.08,1.845
-66.72,1.841
-66.36,1.813
-66.00,1.804
-65.64,1.792
-65.28,1.786
-64.92,1.786
-64.56,1.786
-62.40,1.707
-62.04,1.701
-61.68,1.694
-61.32,1.681
-60.96,1.668
-60.60,1.657
-60.24,1.651
-59.88,1.640
-59.52,1.636
-59.16,1.631
-58.80,1.624
-58.44,1.624
-58.08,1.604
-57.72,1.600
-57.36,1.590
-57.00,1.589
-56.64,1.581
-56.28,1.571
-55.92,1.566
-55.56,1.559
-55.20,1.554
-54.84,1.545
-54.48,1.542
-54.12,1.532
-53.76,1.529
-53.40,1.526
-53.04,1.521
-52.68,1.510
-52.32,1.509
-51.96,1.509
-51.60,1.507
-51.24,1.507
-50.88,1.502
-50.52,1.490
-50.16,1.482
-49.80,1.479
-49.44,1.475
-49.08,1.469
-48.72,1.468
-48.36,1.465
-48.00,1.460
-47.64,1.454
-47.28,1.447
-46.92,1.442
-46.56,1.441
-46.20,1.441
-45.84,1.442
-40.08,0.477
-39.72,0.474
-39.36,0.474
-39.00,0.477
-38.64,0.477
-38.28,0.479
-37.92,0.485
-37.56,0.543
-37.20,0.543
-36.84,0.543
-36.48,0.541
-36.12,0.536
-35.76,0.536
-35.40,0.529
-35.04,0.533
-34.68,0.533
-34.32,0.533
-33.96,0.533
-33.60,0.533
-33.24,0.529
-32.88,0.529
-32.52,0.529
-32.16,0.529
-31.80,0.529
-31.44,0.526
-31.08,0.524
-30.72,0.518
-30.36,0.517
-30.00,0.514
-29.64,0.514
-29.28,0.513
-28.92,0.507
-28.56,0.505
-28.20,0.499
-27.84,0.499
-27.48,0.498
-27.12,0.498
-26.76,0.498
-26.40,0.498
