Time,v_l,v_r,u0,u1,u2,e0,e1,e2
0.48,0.400,0.400,0.400,0.400,0.000,0.251,0.251,0.000
0.58,0.000,0.000,0.000,0.000,0.400,0.251,0.251,0.251
0.68,0.401,0.399,0.400,0.400,0.000,0.250,0.250,0.251
0.78,0.401,0.399,0.400,0.400,0.400,0.249,0.249,0.250
0.88,0.401,0.399,0.400,0.400,0.400,0.249,0.249,0.249
0.98,0.401,0.399,0.400,0.400,0.400,0.249,0.249,0.249
1.08,0.401,0.399,0.400,0.400,0.400,0.250,0.250,0.249
1.18,0.402,0.398,0.400,0.400,0.400,0.251,0.251,0.250
1.28,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.251
1.38,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.250
1.48,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.250
1.58,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.250
1.68,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.250
1.78,0.402,0.398,0.400,0.400,0.400,0.249,0.249,0.250
1.88,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.249
1.98,0.402,0.398,0.400,0.400,0.400,0.249,0.249,0.250
2.08,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.249
2.18,0.402,0.398,0.400,0.400,0.400,0.251,0.251,0.250
2.28,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.251
2.38,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.250
2.48,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.250
2.58,0.402,0.398,0.400,0.400,0.400,0.249,0.249,0.250
2.68,0.402,0.398,0.400,0.400,0.400,0.249,0.249,0.249
2.78,0.402,0.398,0.400,0.400,0.400,0.250,0.250,0.249
2.88,0.402,0.398,0.400,0.400,0.400,0.244,0.244,0.250
2.98,0.403,0.397,0.400,0.400,0.400,0.233,0.233,0.244
3.08,0.000,0.000,0.400,0.400,0.400,0.233,0.233,0.244
3.08,0.397,0.386,0.391,0.391,0.400,0.205,0.205,0.233
3.18,0.000,0.000,0.391,0.391,0.400,0.205,0.205,0.233
3.18,0.268,0.255,0.261,0.261,0.391,0.167,0.167,0.205
3.38,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.39,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.39,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.54,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.54,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.63,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.63,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
