Time,Angle,Distance,Robot_X,Robot_Y,Robot_Heading_deg,Centroid_X,Centroid_Y,ClusterSize,Velocity_cmd
1749039388.1754920483,-1.62,0.385,0.000,0.000,0.00,0.385,-0.011,105,0.400
1749039388.2759370804,-1.62,0.386,0.000,0.000,0.00,0.386,-0.011,104,0.000
1749039388.3762679100,-1.62,0.385,0.003,0.000,-0.00,0.388,-0.011,104,0.160
1749039388.4766149521,-1.62,0.386,0.014,0.000,-0.11,0.399,-0.012,104,0.106
1749039388.5769429207,-1.80,0.386,0.024,0.000,-0.17,0.409,-0.013,107,0.128
1749039388.6773569584,-1.62,0.385,0.036,-0.000,-0.63,0.421,-0.015,109,0.118
1749039388.7776288986,-1.62,0.383,0.050,-0.000,-0.97,0.433,-0.017,113,0.106
1749039388.8779129982,-1.62,0.371,0.064,-0.001,-1.15,0.435,-0.019,118,0.044
1749039388.9783139229,-1.44,0.363,0.078,-0.001,-1.32,0.441,-0.018,121,0.090
1749039389.0786600113,-1.08,0.352,0.090,-0.001,-1.55,0.441,-0.017,126,0.034
1749039389.1789920330,-0.36,0.340,0.098,-0.001,-1.60,0.438,-0.013,130,0.042
1749039389.2794001102,-0.18,0.327,0.104,-0.002,-1.49,0.431,-0.012,132,0.018
1749039389.3797490597,0.36,0.313,0.109,-0.002,-1.43,0.422,-0.008,134,0.008
1749039389.4800899029,0.90,0.303,0.112,-0.002,-1.38,0.415,-0.005,136,0.016
1749039389.5804359913,1.26,0.296,0.114,-0.002,-1.32,0.409,-0.002,136,0.023
1749039389.6807310581,1.26,0.289,0.115,-0.002,-1.32,0.404,-0.002,138,0.016
1749039389.7811141014,1.26,0.287,0.116,-0.002,-1.32,0.403,-0.002,138,0.033
1749039389.8814280033,1.26,0.284,0.118,-0.002,-1.26,0.402,-0.002,138,0.018
1749039389.9817869663,1.26,0.281,0.120,-0.002,-1.26,0.401,-0.002,140,0.021
1749039390.0821468830,1.26,0.280,0.122,-0.002,-1.20,0.402,-0.002,140,0.026
1749039390.1825089455,2.41,0.273,0.124,-0.002,-1.15,0.397,0.004,-1,0.026
1749039390.1825420856,1.26,0.278,0.124,-0.002,-1.15,0.402,-0.001,-1,0.017
1749039390.2828869820,1.26,0.273,0.127,-0.002,-1.15,0.400,-0.001,-1,0.017
1749039390.2829380035,1.26,0.277,0.127,-0.002,-1.15,0.404,-0.001,-1,0.023
1749039390.3832058907,1.20,0.273,0.129,-0.002,-1.09,0.402,-0.001,-1,0.023
1749039390.3832249641,1.26,0.274,0.129,-0.002,-1.09,0.403,-0.001,-1,0.007
1749039390.4834749699,1.26,0.273,0.132,-0.002,-1.09,0.405,-0.001,-1,0.007
1749039390.4835069180,1.26,0.273,0.132,-0.002,-1.09,0.405,-0.001,-1,0.020
1749039390.5838530064,1.20,0.273,0.134,-0.002,-1.03,0.407,-0.001,-1,0.020
1749039390.5838899612,2.41,0.273,0.134,-0.002,-1.03,0.407,0.005,-1,0.022
1749039390.6842849255,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039390.7246339321,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039390.8282289505,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039390.9215641022,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.0250320435,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.1184980869,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.2222220898,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.3257710934,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.4191870689,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.5228700638,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.6162331104,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.7201690674,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.8236789703,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039391.9170200825,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039392.0207409859,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039392.1141839027,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039392.2179150581,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039392.3213090897,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039392.4145550728,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039392.5180881023,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
1749039392.6112959385,1.26,0.273,0.175,-0.003,-0.29,0.448,0.002,137,0.021
1749039392.7147769928,1.20,0.273,0.177,-0.003,-0.29,0.450,0.001,130,0.021
1749039392.8185861111,1.26,0.273,0.179,-0.003,-0.29,0.452,0.002,122,0.021
1749039392.9189240932,1.20,0.273,0.182,-0.003,-0.29,0.455,0.001,114,0.021
1749039393.0193150043,1.08,0.279,0.184,-0.003,-0.23,0.463,0.001,107,0.063
1749039393.1196620464,1.26,0.300,0.186,-0.003,-0.23,0.486,0.002,101,0.156
1749039393.2200660706,1.98,0.321,0.189,-0.003,-0.17,0.509,0.007,95,0.129
1749039393.3204131126,1.98,0.347,0.197,-0.003,-0.11,0.544,0.008,91,0.206
1749039393.4207770824,2.16,0.374,0.211,-0.003,0.06,0.584,0.011,89,0.201
1749039393.5211389065,2.16,0.403,0.228,-0.003,0.17,0.631,0.013,87,0.255
1749039393.6215069294,2.16,0.428,0.248,-0.003,0.29,0.676,0.015,86,0.240
1749039393.7219090462,2.16,0.447,0.271,-0.002,0.57,0.717,0.019,84,0.231
1749039393.8222570419,2.16,0.462,0.297,-0.002,0.86,0.759,0.022,83,0.243
1749039393.9226529598,1.80,0.474,0.323,-0.002,1.09,0.796,0.022,83,0.234
1749039394.0230441093,1.62,0.485,0.348,-0.001,1.43,0.833,0.025,82,0.254
1749039394.1234409809,1.26,0.489,0.373,-0.000,1.66,0.861,0.025,81,0.207
1749039394.2238130569,1.08,0.490,0.398,0.000,1.89,0.888,0.025,81,0.221
1749039394.3242070675,1.08,0.499,0.423,0.001,1.83,0.921,0.026,80,0.269
1749039394.4245929718,0.90,0.504,0.445,0.002,2.01,0.949,0.028,78,0.240
1749039394.5249700546,1.08,0.512,0.467,0.003,2.06,0.978,0.031,77,0.273
1749039394.6254479885,1.08,0.519,0.493,0.004,2.23,1.011,0.034,77,0.263
1749039394.7258639336,1.26,0.524,0.519,0.005,2.46,1.042,0.039,76,0.264
1749039394.8262419701,1.26,0.532,0.546,0.006,2.69,1.077,0.043,75,0.291
1749039394.9266281128,1.08,0.543,0.573,0.007,2.86,1.114,0.044,75,0.306
1749039395.0276188850,1.08,0.546,0.602,0.009,2.98,1.146,0.048,74,0.261
1749039395.1279809475,0.90,0.551,0.632,0.010,3.04,1.182,0.048,74,0.300
1749039395.2284009457,1.08,0.552,0.661,0.012,3.04,1.211,0.052,74,0.261
1749039395.3287498951,1.08,0.557,0.690,0.013,3.15,1.245,0.054,74,0.311
1749039395.4290421009,0.90,0.558,0.718,0.015,3.21,1.274,0.055,74,0.266
1749039395.5293900967,0.54,0.561,0.747,0.017,3.44,1.306,0.056,74,0.301
1749039395.6297109127,0.54,0.560,0.776,0.018,3.67,1.334,0.059,73,0.264
