time_unix,x,y,heading,velocity_cmd
1749038161.289766,1.103,2.165,-3.041,0.000
1749038161.488989,1.103,2.165,-3.041,0.000
1749038161.588511,1.103,2.165,-3.041,0.000
1749038161.787708,1.103,2.165,-3.041,0.000
1749038161.887599,1.103,2.165,-3.041,0.000
1749038162.086844,1.103,2.165,-3.041,0.000
1749038162.186558,1.103,2.165,-3.041,0.000
1749038162.385508,1.103,2.165,-3.041,0.000
1749038162.485473,1.103,2.165,-3.041,0.000
1749038162.684239,1.103,2.165,-3.041,0.000
1749038162.783664,1.103,2.165,-3.041,0.000
1749038162.983258,1.103,2.165,-3.041,0.000
1749038163.082608,1.103,2.165,-3.041,0.000
1749038163.281664,1.103,2.165,-3.041,0.000
1749038163.381377,-0.000,0.001,-0.001,0.000
1749038163.779622,0.000,0.000,0.000,0.000
1749038163.879854,0.000,0.000,0.000,0.000
1749038164.079421,0.000,0.000,0.000,0.000
1749038164.178764,0.000,0.000,0.000,0.000
1749038164.377855,0.001,0.000,0.001,0.000
1749038164.477192,0.003,0.000,0.003,0.000
1749038164.676417,0.014,0.000,0.012,0.000
1749038164.775629,0.027,0.000,0.021,0.000
1749038164.975120,0.068,0.001,0.035,0.000
1749038165.074479,0.092,0.002,0.037,0.000
1749038165.273563,0.151,0.004,0.019,0.000
1749038165.473433,0.216,0.004,-0.014,0.000
1749038165.573574,0.247,0.004,-0.027,0.000
1749038165.772102,0.308,0.001,-0.046,0.000
1749038165.971885,0.368,-0.001,-0.038,0.000
1749038166.071325,0.398,-0.002,-0.023,0.000
1749038166.269917,0.460,-0.003,0.012,0.000
1749038166.369451,0.491,-0.002,0.027,0.000
1749038166.568689,0.552,0.000,0.045,0.000
1749038166.668729,0.583,0.002,0.043,0.000
1749038166.868492,0.644,0.004,0.015,0.000
1749038166.967824,0.675,0.004,-0.001,0.000
1749038167.167664,0.736,0.003,-0.029,0.000
1749038167.267595,0.768,0.002,-0.040,0.000
1749038167.466049,0.828,-0.001,-0.039,0.000
1749038167.565587,0.857,-0.002,-0.028,0.000
1749038167.764210,0.919,-0.003,0.001,0.000
1749038167.864072,0.951,-0.002,0.014,0.000
1749038168.063173,1.013,-0.001,0.030,0.000
1749038168.162594,1.043,-0.000,0.030,0.000
1749038168.362986,1.104,0.002,0.022,0.000
1749038168.462228,1.135,0.002,0.014,0.000
