Time,Angle,Distance,Robot_X,Robot_Y,Robot_Heading_deg,Centroid_X,Centroid_Y,ClusterSize,Velocity_cmd
1749038153.4607250690,-3.78,0.346,0.000,0.000,0.00,0.345,-0.023,114,0.400
1749038153.5611469746,-3.78,0.347,0.000,0.000,0.00,0.346,-0.023,114,0.000
1749038153.6613581181,-3.78,0.347,0.000,0.000,0.00,0.346,-0.023,114,0.139
1749038153.7615110874,-3.78,0.347,0.000,0.000,0.00,0.346,-0.023,114,0.070
1749038153.8617749214,-3.78,0.345,0.000,0.000,0.00,0.345,-0.023,114,0.091
1749038153.9619410038,-3.78,0.346,0.000,0.000,0.00,0.345,-0.023,114,0.090
1749038154.0621058941,-3.78,0.345,0.000,0.000,0.00,0.344,-0.023,114,0.081
1749038154.1623320580,-3.78,0.346,0.000,0.000,0.00,0.345,-0.023,114,0.095
1749038154.2627561092,-3.78,0.345,0.000,0.000,0.00,0.344,-0.023,114,0.076
1749038154.3630969524,-3.78,0.347,0.000,0.000,0.00,0.346,-0.023,114,0.102
1749038154.4633688927,-3.78,0.346,0.000,0.000,0.00,0.346,-0.023,114,0.079
1749038154.5637478828,-3.78,0.347,0.000,0.000,0.00,0.346,-0.023,114,0.094
1749038154.6640720367,-3.78,0.346,0.000,0.000,0.00,0.345,-0.023,114,0.077
1749038154.7643630505,-3.78,0.348,0.000,0.000,0.00,0.347,-0.023,114,0.104
1749038154.8647460938,-3.78,0.346,0.000,0.000,0.00,0.345,-0.023,114,0.072
1749038154.9650530815,-3.78,0.347,0.000,0.000,0.00,0.347,-0.023,114,0.102
1749038155.0653979778,-3.78,0.347,0.000,0.000,0.00,0.347,-0.023,114,0.082
1749038155.1656470299,-3.78,0.347,0.000,0.000,0.00,0.346,-0.023,114,0.089
1749038155.2659299374,-3.78,0.347,0.000,0.000,0.00,0.346,-0.023,114,0.087
1749038155.3662478924,-3.78,0.347,0.000,0.000,0.00,0.347,-0.023,114,0.091
1749038155.4665939808,-3.78,0.347,0.001,0.000,0.17,0.348,-0.022,114,0.085
1749038155.5669310093,-3.78,0.347,0.001,0.000,0.34,0.348,-0.021,114,0.090
1749038155.6672310829,-3.78,0.347,0.003,0.000,0.69,0.349,-0.019,115,0.083
1749038155.7675600052,-3.78,0.347,0.007,0.000,0.86,0.354,-0.018,117,0.093
1749038155.8678998947,-4.14,0.347,0.015,0.000,1.20,0.361,-0.018,119,0.083
1749038155.9682290554,-4.50,0.346,0.025,0.001,1.38,0.371,-0.018,122,0.086
1749038156.0686099529,-5.04,0.344,0.037,0.001,1.49,0.380,-0.020,126,0.072
1749038156.1689219475,-5.40,0.339,0.049,0.001,1.49,0.387,-0.022,130,0.056
1749038156.2692561150,-6.12,0.330,0.058,0.001,1.32,0.387,-0.027,133,0.035
1749038156.3695800304,-6.66,0.322,0.067,0.002,1.20,0.387,-0.029,136,0.034
1749038156.4699139595,-7.02,0.308,0.073,0.002,1.03,0.379,-0.030,138,0.000
1749038156.5702519417,-7.02,0.296,0.077,0.002,0.86,0.371,-0.030,139,0.008
1749038156.6706030369,-6.84,0.287,0.078,0.002,0.86,0.364,-0.028,140,0.007
1749038156.7709739208,-7.02,0.281,0.079,0.002,0.86,0.358,-0.028,140,0.010
1749038156.8712511063,-6.66,0.274,0.079,0.002,0.92,0.351,-0.025,140,0.000
1749038156.9716370106,-6.48,0.271,0.079,0.002,0.92,0.348,-0.024,140,0.017
1749038157.0721280575,-6.66,0.269,0.079,0.002,0.92,0.347,-0.025,135,0.018
1749038157.1723830700,-6.66,0.269,0.079,0.002,0.92,0.347,-0.025,132,0.019
1749038157.2726891041,-6.66,0.270,0.080,0.002,0.97,0.349,-0.025,129,0.024
1749038157.3729879856,-6.66,0.270,0.081,0.002,0.92,0.349,-0.025,124,0.014
1749038157.4731640816,-6.48,0.279,0.083,0.002,0.74,0.361,-0.026,122,0.085
1749038157.5734360218,-6.30,0.289,0.087,0.002,0.69,0.374,-0.026,119,0.065
1749038157.6737709045,-6.48,0.301,0.089,0.002,0.57,0.389,-0.029,116,0.103
1749038157.7740750313,-6.30,0.311,0.093,0.002,0.63,0.402,-0.029,116,0.080
1749038157.8744690418,-5.94,0.319,0.100,0.002,0.46,0.418,-0.028,116,0.093
1749038157.9747340679,-5.76,0.328,0.111,0.002,0.17,0.437,-0.030,119,0.101
1749038158.0750949383,-5.58,0.337,0.123,0.002,-0.11,0.458,-0.031,121,0.112
1749038158.1754450798,-5.58,0.341,0.134,0.002,-0.40,0.473,-0.034,123,0.083
1749038158.2758059502,-5.22,0.338,0.144,0.002,-0.74,0.480,-0.033,125,0.055
1749038158.3761880398,-5.04,0.332,0.154,0.002,-0.97,0.484,-0.033,128,0.049
1749038158.4765400887,-4.68,0.324,0.164,0.002,-1.26,0.486,-0.032,131,0.029
1749038158.5768430233,-4.32,0.317,0.172,0.001,-1.55,0.487,-0.031,133,0.038
1749038158.6771810055,-3.96,0.310,0.178,0.001,-1.66,0.487,-0.029,133,0.029
1749038158.7775158882,-3.42,0.301,0.181,0.001,-1.89,0.481,-0.027,133,0.010
1749038158.8778569698,-3.24,0.295,0.184,0.001,-1.95,0.478,-0.026,133,0.024
1749038158.9781899452,-2.88,0.290,0.187,0.001,-2.06,0.476,-0.024,133,0.022
1749038159.0785439014,-2.52,0.290,0.188,0.001,-2.06,0.477,-0.022,133,0.046
1749038159.1788859367,-2.52,0.289,0.188,0.001,-2.01,0.476,-0.022,132,0.025
1749038159.2792270184,-2.16,0.288,0.189,0.001,-1.83,0.476,-0.019,132,0.038
1749038159.3795559406,-2.16,0.288,0.192,0.001,-1.95,0.479,-0.020,132,0.034
1749038159.4798929691,-2.16,0.291,0.198,0.001,-2.06,0.488,-0.020,135,0.055
1749038159.5802190304,-1.98,0.293,0.204,0.000,-2.18,0.496,-0.021,136,0.041
1749038159.6805229187,-2.34,0.294,0.208,0.000,-2.18,0.501,-0.023,136,0.047
1749038159.7807960510,-2.34,0.291,0.212,0.000,-2.18,0.503,-0.023,137,0.016
1749038159.8811149597,-2.16,0.287,0.214,-0.000,-2.23,0.500,-0.022,137,0.013
1749038159.9814400673,-1.98,0.283,0.218,-0.000,-2.35,0.500,-0.021,137,0.020
1749038160.0818400383,-1.98,0.281,0.222,-0.000,-2.46,0.502,-0.022,138,0.021
1749038160.1821660995,-2.16,0.278,0.223,-0.000,-2.41,0.500,-0.022,138,0.017
1749038160.2824969292,-1.80,0.279,0.224,-0.000,-2.35,0.502,-0.020,137,0.037
1749038160.3828220367,-1.80,0.279,0.224,-0.000,-2.29,0.502,-0.020,137,0.022
1749038160.4832000732,-1.62,0.277,0.225,-0.001,-2.23,0.502,-0.020,135,0.016
1749038160.5835111141,-1.62,0.278,0.227,-0.001,-2.29,0.504,-0.020,136,0.033
1749038160.6838510036,-1.80,0.280,0.231,-0.001,-2.29,0.510,-0.021,137,0.035
1749038160.7841479778,-1.80,0.281,0.236,-0.001,-2.41,0.516,-0.022,138,0.033
1749038160.8845150471,-1.80,0.284,0.240,-0.001,-2.46,0.523,-0.022,139,0.044
1749038160.9848020077,-1.98,0.282,0.244,-0.001,-2.46,0.526,-0.023,140,0.014
1749038161.0850899220,0.90,0.273,0.247,-0.002,-2.52,0.520,-0.010,-1,0.014
1749038161.0851280689,-1.80,0.279,0.247,-0.002,-2.52,0.526,-0.023,-1,0.015
1749038161.1854710579,-1.79,0.273,0.250,-0.002,-2.35,0.522,-0.022,-1,0.015
1749038161.1855089664,-1.62,0.276,0.250,-0.002,-2.35,0.525,-0.021,-1,0.009
1749038161.2858378887,-1.68,0.273,0.251,-0.002,-2.29,0.523,-0.021,-1,0.009
1749038161.2858729362,-1.44,0.274,0.251,-0.002,-2.29,0.525,-0.020,-1,0.019
1749038161.3862040043,-1.62,0.273,0.252,-0.002,-2.23,0.524,-0.020,139,0.016
1749038161.4864990711,0.90,0.273,0.252,-0.002,-2.23,0.525,-0.008,139,0.024
1749038161.5867660046,-1.79,0.273,0.254,-0.002,-2.46,0.526,-0.022,138,0.020
1749038161.6871531010,-1.68,0.273,0.257,-0.002,-2.64,0.529,-0.023,140,0.021
1749038161.7874829769,-1.80,0.274,0.261,-0.002,-2.69,0.534,-0.023,139,0.031
1749038161.8877840042,-1.80,0.277,0.263,-0.002,-2.64,0.539,-0.023,139,0.034
1749038161.9881350994,-1.26,0.277,0.263,-0.002,-2.58,0.540,-0.021,139,0.022
1749038162.0884909630,-1.26,0.276,0.265,-0.002,-2.75,0.540,-0.021,138,0.014
1749038162.1887540817,-1.08,0.275,0.268,-0.002,-2.75,0.542,-0.020,139,0.020
1749038162.2891049385,-1.08,0.276,0.272,-0.003,-2.86,0.547,-0.022,140,0.032
1749038162.3893740177,-1.44,0.277,0.275,-0.003,-2.86,0.551,-0.024,140,0.027
1749038162.4896740913,-1.26,0.277,0.276,-0.003,-2.75,0.552,-0.022,140,0.022
1749038162.5900690556,-1.08,0.276,0.276,-0.003,-2.52,0.552,-0.020,139,0.020
1749038162.6903560162,-0.90,0.272,0.279,-0.003,-2.64,0.551,-0.020,139,0.000
1749038162.7906630039,-1.15,0.273,0.282,-0.003,-2.58,0.554,-0.021,-1,0.000
1749038162.7906999588,-0.90,0.272,0.282,-0.003,-2.58,0.553,-0.019,-1,0.027
1749038162.8910191059,-1.33,0.273,0.286,-0.003,-2.69,0.558,-0.022,-1,0.027
1749038162.8910589218,-0.90,0.274,0.286,-0.003,-2.69,0.560,-0.020,-1,0.034
1749038162.9913890362,-1.50,0.273,0.288,-0.003,-2.64,0.560,-0.023,-1,0.034
1749038162.9914240837,-1.44,0.273,0.288,-0.003,-2.64,0.561,-0.022,-1,0.010
1749038163.0923810005,-1.44,0.273,0.289,-0.003,-2.46,0.561,-0.022,140,0.023
1749038163.1927030087,-1.15,0.273,0.290,-0.003,-2.41,0.563,-0.020,140,0.020
1749038163.2929639816,-1.68,0.271,0.292,-0.003,-2.58,0.562,-0.023,-1,0.020
1749038163.2930099964,-1.33,0.273,0.292,-0.003,-2.58,0.564,-0.022,-1,0.021
1749038163.3932800293,-1.62,0.271,0.294,-0.004,-2.58,0.564,-0.024,-1,0.021
1749038163.3933138847,-1.50,0.273,0.294,-0.004,-2.58,0.566,-0.023,-1,0.021
1749038163.4936470985,-1.62,0.271,0.297,-0.004,-2.58,0.567,-0.024,-1,0.021
1749038163.4936819077,-1.62,0.270,0.297,-0.004,-2.58,0.566,-0.024,-1,0.001
1749038163.5940139294,-1.62,0.271,0.300,-0.004,-2.58,0.570,-0.024,-1,0.001
1749038163.5940508842,-1.62,0.271,0.300,-0.004,-2.58,0.570,-0.024,-1,0.030
1749038163.6943919659,-1.73,0.271,0.300,-0.004,-2.46,0.570,-0.024,-1,0.030
1749038163.6944310665,-1.68,0.271,0.300,-0.004,-2.46,0.570,-0.024,-1,0.014
1749038163.7947900295,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
