Time,v_l,v_r,u0,u1,u2,e0,e1,e2
1749038156.7914640903,0.403,0.397,0.400,0.400,0.000,0.138,0.138,0.000
1749038156.8919279575,0.000,0.000,0.000,0.000,0.400,0.138,0.138,0.138
1749038156.9922599792,0.160,0.155,0.157,0.157,0.000,0.137,0.137,0.138
1749038157.0926260948,0.121,0.117,0.119,0.119,0.157,0.139,0.139,0.137
1749038157.1929891109,0.125,0.120,0.123,0.123,0.119,0.138,0.138,0.139
1749038157.2932350636,0.127,0.122,0.125,0.125,0.123,0.138,0.138,0.138
1749038157.3936340809,0.129,0.123,0.126,0.126,0.125,0.138,0.138,0.138
1749038157.4939570427,0.032,0.030,0.031,0.031,0.126,0.125,0.125,0.138
1749038157.5943090916,0.102,0.098,0.100,0.100,0.031,0.117,0.117,0.125
1749038157.6946580410,0.025,0.024,0.025,0.025,0.100,0.104,0.104,0.117
1749038157.7950019836,0.056,0.054,0.055,0.055,0.025,0.093,0.093,0.104
1749038157.8953800201,0.039,0.037,0.038,0.038,0.055,0.083,0.083,0.093
1749038157.9956920147,0.020,0.020,0.020,0.020,0.038,0.072,0.072,0.083
1749038158.0959880352,0.021,0.020,0.021,0.021,0.020,0.061,0.061,0.072
1749038158.1963419914,0.030,0.028,0.029,0.029,0.021,0.054,0.054,0.061
1749038158.2966680527,0.028,0.027,0.028,0.028,0.029,0.048,0.048,0.054
1749038158.3970820904,0.040,0.039,0.040,0.040,0.028,0.046,0.046,0.048
1749038158.4974069595,0.023,0.022,0.023,0.023,0.040,0.042,0.042,0.046
1749038158.5977530479,0.025,0.024,0.024,0.024,0.023,0.039,0.039,0.042
1749038158.6980900764,0.037,0.036,0.037,0.037,0.024,0.038,0.038,0.039
1749038158.7983748913,0.013,0.013,0.013,0.013,0.037,0.035,0.035,0.038
1749038158.8986670971,0.000,0.000,0.013,0.013,0.037,0.035,0.035,0.038
1749038158.8986999989,0.030,0.029,0.029,0.029,0.013,0.033,0.033,0.035
1749038158.9990119934,0.000,0.000,0.029,0.029,0.013,0.033,0.033,0.035
1749038158.9990520477,0.010,0.010,0.010,0.010,0.029,0.030,0.030,0.033
1749038159.0993928909,0.000,0.000,0.010,0.010,0.029,0.030,0.030,0.033
1749038159.0994250774,0.010,0.010,0.010,0.010,0.010,0.026,0.026,0.030
1749038159.1997749805,0.000,0.000,0.010,0.010,0.010,0.026,0.026,0.030
1749038159.1998119354,0.025,0.025,0.025,0.025,0.010,0.025,0.025,0.026
1749038159.3001060486,0.000,0.000,0.025,0.025,0.010,0.025,0.025,0.026
1749038159.3001420498,0.024,0.023,0.023,0.023,0.025,0.025,0.025,0.025
1749038159.4005279541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038159.4415159225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038159.5449109077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038159.6384930611,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038159.7418470383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038159.8350930214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038159.9386329651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.0421938896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.1355619431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.2392330170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.3324580193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.4361629486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.5396640301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.6330559254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.7367908955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.8300330639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038160.9334619045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.0375959873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.1308259964,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.2343370914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.3284399509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.4321300983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.5356938839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.6290559769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.7324829102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.8260009289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038161.9295289516,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.0332589149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.1264569759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.2300090790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.3234829903,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.4273049831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.5306379795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.6238949299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.7274529934,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038162.8206620216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.0244259834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.0281078815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.1212689877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.2247459888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.3284881115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.4219610691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.5252170563,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.6185278893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.7220590115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.8255190849,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038163.9186949730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.0222980976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.1156680584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.2192299366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.3226180077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.4162039757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.5201759338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.6135790348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.7173171043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.7173509598,0.000,0.000,0.000,0.000,0.000,-0.064,-0.064,0.000
1749038164.8209710121,0.000,0.000,0.000,0.000,0.000,-0.064,-0.064,0.000
