x,y
-0.846,-1.465
-0.836,-1.470
-0.826,-1.473
-0.817,-1.478
-0.808,-1.485
-0.799,-1.490
-0.789,-1.494
-0.780,-1.499
-0.770,-1.504
-0.759,-1.505
-0.750,-1.511
-0.739,-1.513
-0.728,-1.515
-0.720,-1.522
-0.712,-1.529
-0.702,-1.534
-0.693,-1.539
-0.683,-1.543
-0.674,-1.550
-0.665,-1.554
-0.655,-1.558
-0.645,-1.561
-0.635,-1.566
-0.625,-1.570
-0.616,-1.576
-0.607,-1.582
-0.599,-1.591
-0.589,-1.593
-0.579,-1.598
-0.569,-1.602
-0.559,-1.605
-0.549,-1.609
-0.541,-1.619
-0.531,-1.622
-0.521,-1.626
-0.510,-1.629
-0.501,-1.636
-0.491,-1.640
-0.482,-1.647
-0.472,-1.651
-0.462,-1.654
-0.453,-1.661
-0.443,-1.669
-0.435,-1.682
-0.425,-1.685
-0.415,-1.690
-0.404,-1.692
-0.394,-1.695
-0.385,-1.704
-0.374,-1.707
-0.363,-1.710
-0.354,-1.717
-0.344,-1.723
-0.333,-1.728
-0.323,-1.731
-0.312,-1.735
-0.302,-1.744
-0.292,-1.748
-0.282,-1.754
-0.271,-1.758
-0.261,-1.766
-0.250,-1.768
-0.240,-1.780
-0.229,-1.786
-0.219,-1.793
-0.208,-1.798
-0.197,-1.802
-0.186,-1.805
-0.176,-1.825
-0.165,-1.830
-0.154,-1.835
-0.143,-1.835
-0.131,-1.841
-0.120,-1.846
-0.109,-1.856
-0.098,-1.860
-0.086,-1.864
-0.074,-1.866
-0.063,-1.879
-0.051,-1.879
-0.040,-1.887
-0.028,-1.894
-0.016,-1.906
-0.004,-1.919
0.008,-1.925
0.020,-1.934
0.032,-1.935
0.045,-1.935
0.057,-1.938
0.070,-1.952
0.082,-1.965
0.095,-1.969
0.108,-1.982
0.121,-1.992
0.134,-2.001
0.147,-2.006
0.161,-2.018
0.176,-2.042
0.189,-2.044
0.203,-2.054
0.217,-2.069
0.231,-2.074
0.245,-2.076
0.260,-2.096
0.274,-2.098
0.288,-2.102
0.304,-2.117
0.318,-2.123
0.332,-2.125
0.348,-2.137
0.362,-2.143
0.381,-2.172
0.398,-2.185
0.414,-2.196
0.430,-2.206
0.444,-2.204
0.458,-2.201
0.482,-2.245
0.496,-2.242
0.510,-2.239
0.520,-2.218
0.531,-2.202
0.541,-2.182
0.548,-2.152
0.557,-2.131
0.564,-2.104
0.576,-2.096
0.580,-2.061
0.589,-2.044
0.600,-2.032
0.607,-2.009
0.615,-1.990
0.623,-1.975
0.630,-1.953
0.636,-1.930
0.642,-1.908
0.650,-1.893
0.656,-1.870
0.663,-1.855
0.667,-1.829
0.677,-1.820
0.684,-1.805
0.687,-1.780
0.694,-1.764
0.703,-1.753
0.709,-1.738
0.712,-1.715
0.719,-1.699
0.728,-1.691
0.727,-1.661
0.734,-1.648
0.739,-1.632
0.747,-1.622
0.757,-1.618
0.767,-1.613
0.791,-1.513
0.798,-1.502
0.804,-1.491
0.807,-1.475
0.810,-1.458
0.813,-1.444
0.820,-1.433
0.823,-1.419
