Time,v_l,v_r,u0,u1,u2,e0,e1,e2
2.49,0.400,0.400,0.400,0.400,0.000,0.105,0.105,0.000
2.59,0.000,0.000,0.000,0.000,0.400,0.105,0.105,0.105
2.69,0.153,0.152,0.152,0.152,0.000,0.105,0.105,0.105
2.79,0.078,0.077,0.077,0.077,0.152,0.105,0.105,0.105
2.89,0.139,0.139,0.139,0.139,0.077,0.110,0.110,0.105
2.99,0.139,0.138,0.138,0.138,0.139,0.118,0.118,0.110
3.09,0.152,0.150,0.151,0.151,0.138,0.127,0.127,0.118
3.19,0.151,0.149,0.150,0.150,0.151,0.135,0.135,0.127
3.29,0.178,0.174,0.176,0.176,0.150,0.145,0.145,0.135
3.39,0.190,0.186,0.188,0.188,0.176,0.157,0.157,0.145
3.49,0.186,0.180,0.183,0.183,0.188,0.167,0.167,0.157
3.59,0.189,0.183,0.186,0.186,0.183,0.176,0.176,0.167
3.69,0.174,0.167,0.170,0.170,0.186,0.180,0.180,0.176
3.79,0.183,0.176,0.180,0.180,0.170,0.184,0.184,0.180
3.89,0.196,0.186,0.191,0.191,0.180,0.189,0.189,0.184
4.00,0.164,0.156,0.160,0.160,0.191,0.189,0.189,0.189
4.10,0.191,0.181,0.186,0.186,0.160,0.191,0.191,0.189
4.20,0.178,0.168,0.173,0.173,0.186,0.192,0.192,0.191
4.30,0.182,0.172,0.177,0.177,0.173,0.193,0.193,0.192
4.40,0.192,0.180,0.186,0.186,0.177,0.195,0.195,0.193
4.50,0.197,0.185,0.191,0.191,0.186,0.198,0.198,0.195
4.60,0.190,0.178,0.184,0.184,0.191,0.200,0.200,0.198
4.70,0.205,0.192,0.198,0.198,0.184,0.203,0.203,0.200
4.80,0.189,0.177,0.183,0.183,0.198,0.204,0.204,0.203
4.90,0.203,0.189,0.196,0.196,0.183,0.206,0.206,0.204
5.00,0.210,0.196,0.203,0.203,0.196,0.209,0.209,0.206
5.10,0.200,0.187,0.193,0.193,0.203,0.211,0.211,0.209
5.20,0.194,0.182,0.188,0.188,0.193,0.211,0.211,0.211
5.30,0.215,0.202,0.209,0.209,0.188,0.213,0.213,0.211
5.40,0.171,0.161,0.166,0.166,0.209,0.211,0.211,0.213
5.50,0.219,0.207,0.213,0.213,0.166,0.212,0.212,0.211
