Time,Angle,Distance,Robot_X,Robot_Y,Robot_Heading_deg,Centroid_X,Centroid_Y,ClusterSize,Velocity_cmd
2.49,-0.72,0.355,0.000,0.000,0.00,0.355,-0.004,110,0.400
2.59,-0.72,0.355,0.000,0.000,0.00,0.355,-0.004,108,0.000
2.69,-0.72,0.355,0.002,0.000,0.34,0.357,-0.002,107,0.152
2.79,-0.72,0.355,0.011,0.000,0.86,0.366,0.001,104,0.077
2.89,-0.54,0.360,0.021,0.000,0.92,0.381,0.002,102,0.139
2.99,-0.90,0.368,0.032,0.000,0.97,0.400,0.000,99,0.138
3.09,-1.08,0.377,0.044,0.001,1.03,0.421,0.001,97,0.151
3.19,-2.34,0.385,0.057,0.001,1.09,0.442,-0.007,95,0.150
3.29,-2.70,0.395,0.073,0.001,1.20,0.468,-0.009,94,0.176
3.39,-3.24,0.407,0.089,0.002,1.20,0.496,-0.012,94,0.188
3.49,-3.60,0.417,0.105,0.002,1.20,0.522,-0.015,93,0.183
3.59,-3.96,0.426,0.122,0.002,1.20,0.547,-0.018,93,0.186
3.69,-4.50,0.430,0.141,0.003,1.09,0.570,-0.023,92,0.170
3.79,-4.86,0.434,0.161,0.003,0.92,0.594,-0.027,92,0.180
3.89,-5.04,0.439,0.181,0.003,0.74,0.619,-0.030,92,0.191
4.00,-5.40,0.439,0.201,0.004,0.69,0.639,-0.032,92,0.160
4.10,-5.58,0.441,0.219,0.004,0.52,0.659,-0.035,91,0.186
4.20,-5.58,0.442,0.237,0.004,0.34,0.677,-0.036,90,0.173
4.30,-5.94,0.443,0.255,0.004,0.17,0.696,-0.041,89,0.177
4.40,-5.94,0.445,0.273,0.004,-0.00,0.716,-0.042,89,0.186
4.50,-6.12,0.448,0.291,0.004,-0.17,0.736,-0.045,89,0.191
4.60,-5.94,0.450,0.309,0.004,-0.46,0.756,-0.046,89,0.184
4.70,-6.12,0.453,0.328,0.004,-0.74,0.777,-0.050,88,0.198
4.80,-6.12,0.454,0.347,0.003,-1.09,0.797,-0.054,88,0.183
4.90,-6.12,0.456,0.367,0.003,-1.38,0.819,-0.056,87,0.196
5.00,-5.76,0.459,0.388,0.002,-1.72,0.843,-0.058,88,0.203
5.10,-5.58,0.461,0.409,0.002,-2.06,0.866,-0.059,88,0.193
5.20,-5.22,0.461,0.429,0.001,-2.35,0.886,-0.060,88,0.188
5.30,-5.04,0.463,0.448,-0.000,-2.69,0.907,-0.062,87,0.209
5.40,-4.86,0.461,0.469,-0.001,-3.09,0.925,-0.065,87,0.166
5.50,-4.50,0.462,0.489,-0.002,-3.38,0.947,-0.065,87,0.213
5.60,-4.14,0.463,0.509,-0.003,-3.67,0.968,-0.066,87,0.187
5.70,-3.96,0.463,0.528,-0.005,-4.01,0.987,-0.069,87,0.196
5.80,-3.60,0.465,0.548,-0.006,-4.30,1.008,-0.070,87,0.201
5.90,-3.24,0.464,0.568,-0.008,-4.64,1.028,-0.072,87,0.186
6.00,-2.88,0.466,0.588,-0.009,-4.98,1.050,-0.073,87,0.214
6.10,-2.52,0.469,0.609,-0.011,-5.39,1.073,-0.075,87,0.204
6.20,-2.16,0.470,0.630,-0.013,-5.61,1.096,-0.077,87,0.201
6.30,-1.80,0.469,0.651,-0.016,-6.02,1.116,-0.080,87,0.191
6.40,-1.44,0.469,0.672,-0.018,-6.30,1.137,-0.081,87,0.201
6.50,-1.08,0.469,0.693,-0.020,-6.59,1.158,-0.083,87,0.196
6.60,-0.72,0.470,0.713,-0.023,-6.82,1.179,-0.085,87,0.207
6.70,-0.36,0.468,0.733,-0.025,-7.05,1.197,-0.085,87,0.180
6.80,0.00,0.468,0.753,-0.027,-7.22,1.218,-0.086,86,0.207
6.90,0.36,0.468,0.772,-0.030,-7.51,1.236,-0.088,86,0.190
7.00,0.72,0.465,0.793,-0.033,-7.73,1.254,-0.090,86,0.181
7.11,1.08,0.468,0.814,-0.036,-7.91,1.279,-0.092,86,0.223
7.21,1.62,0.472,0.834,-0.038,-7.96,1.303,-0.090,85,0.211
7.31,1.98,0.469,0.853,-0.041,-7.91,1.319,-0.089,86,0.175
7.41,2.34,0.470,0.874,-0.044,-7.79,1.342,-0.089,86,0.219
7.51,2.70,0.470,0.894,-0.047,-7.73,1.362,-0.088,86,0.188
7.61,2.88,0.474,0.914,-0.049,-7.45,1.386,-0.087,86,0.230
7.71,3.06,0.473,0.935,-0.052,-7.28,1.407,-0.087,86,0.185
7.81,3.06,0.473,0.956,-0.055,-7.10,1.428,-0.088,86,0.208
7.91,3.06,0.472,0.977,-0.057,-6.88,1.448,-0.088,86,0.193
8.01,2.70,0.473,0.998,-0.060,-6.65,1.470,-0.093,86,0.210
8.11,2.70,0.473,1.020,-0.062,-6.47,1.492,-0.093,86,0.197
8.21,2.34,0.475,1.040,-0.064,-6.19,1.514,-0.096,86,0.216
8.31,1.98,0.473,1.060,-0.067,-5.96,1.531,-0.100,86,0.183
8.41,1.62,0.474,1.080,-0.069,-5.73,1.552,-0.103,86,0.217
8.51,1.26,0.473,1.101,-0.071,-5.50,1.572,-0.106,87,0.189
8.61,0.90,0.474,1.122,-0.073,-5.21,1.594,-0.109,87,0.214
8.71,0.54,0.476,1.142,-0.075,-4.98,1.616,-0.112,87,0.210
8.81,0.18,0.474,1.163,-0.076,-4.76,1.636,-0.114,87,0.193
8.91,-0.36,0.474,1.185,-0.078,-4.58,1.657,-0.119,86,0.202
9.01,-0.72,0.475,1.206,-0.080,-4.41,1.679,-0.122,86,0.210
9.11,-1.08,0.475,1.227,-0.081,-4.24,1.700,-0.125,86,0.201
9.21,-1.44,0.475,1.247,-0.083,-4.07,1.720,-0.129,86,0.207
9.31,-1.62,0.473,1.267,-0.084,-3.90,1.738,-0.129,86,0.186
9.41,-1.98,0.472,1.288,-0.086,-3.78,1.757,-0.133,87,0.203
9.51,-2.34,0.473,1.309,-0.087,-3.61,1.779,-0.136,86,0.208
9.61,-2.70,0.473,1.329,-0.088,-3.44,1.799,-0.139,86,0.200
9.71,-2.70,0.472,1.349,-0.089,-3.32,1.819,-0.139,86,0.198
9.81,-3.24,0.472,1.370,-0.091,-3.32,1.839,-0.145,86,0.200
9.91,-3.42,0.472,1.390,-0.092,-3.27,1.859,-0.147,86,0.205
10.02,-3.78,0.474,1.411,-0.093,-3.27,1.882,-0.151,85,0.211
10.12,-3.78,0.472,1.433,-0.094,-3.21,1.902,-0.151,86,0.184
10.22,-4.14,0.476,1.454,-0.095,-3.27,1.926,-0.156,86,0.233
10.32,-4.50,0.476,1.474,-0.096,-3.50,1.945,-0.162,86,0.193
10.42,-4.68,0.477,1.495,-0.098,-3.61,1.967,-0.167,86,0.217
10.52,-4.86,0.474,1.518,-0.099,-3.84,1.987,-0.171,86,0.179
10.62,-5.22,0.474,1.540,-0.101,-3.95,2.008,-0.177,86,0.212
10.72,-5.22,0.477,1.561,-0.102,-4.35,2.031,-0.181,86,0.218
10.82,-5.22,0.475,1.581,-0.104,-4.76,2.049,-0.186,86,0.188
10.92,-5.22,0.473,1.601,-0.106,-5.04,2.066,-0.190,85,0.194
11.02,-4.86,0.472,1.623,-0.108,-5.50,2.087,-0.193,87,0.201
11.12,-4.50,0.472,1.644,-0.110,-5.79,2.109,-0.194,85,0.205
11.22,-4.14,0.475,1.663,-0.112,-6.19,2.130,-0.197,87,0.217
11.32,-3.60,0.473,1.683,-0.114,-6.47,2.149,-0.197,86,0.184
11.42,-3.24,0.475,1.703,-0.116,-6.88,2.171,-0.199,86,0.224
11.52,-2.52,0.472,1.725,-0.119,-7.22,2.190,-0.199,86,0.171
11.62,-2.16,0.475,1.746,-0.122,-7.56,2.214,-0.202,86,0.238
11.72,-1.62,0.475,1.767,-0.125,-7.96,2.235,-0.204,87,0.187
11.82,-0.90,0.472,1.787,-0.127,-8.25,2.253,-0.202,86,0.192
11.92,-0.54,0.474,1.809,-0.131,-8.65,2.277,-0.207,86,0.218
12.02,0.18,0.474,1.829,-0.134,-9.00,2.297,-0.207,87,0.195
12.12,0.72,0.473,1.850,-0.137,-9.17,2.318,-0.207,87,0.202
12.22,1.26,0.474,1.870,-0.140,-9.45,2.339,-0.207,87,0.204
12.32,1.62,0.473,1.890,-0.144,-9.68,2.359,-0.210,86,0.199
12.42,2.16,0.470,1.911,-0.147,-9.91,2.377,-0.210,86,0.182
12.52,2.52,0.471,1.931,-0.151,-9.97,2.398,-0.212,86,0.216
12.62,2.88,0.472,1.951,-0.155,-10.08,2.419,-0.214,86,0.198
12.72,3.42,0.474,1.971,-0.158,-10.08,2.441,-0.213,86,0.214
12.82,3.78,0.475,1.992,-0.162,-10.14,2.464,-0.215,86,0.206
12.93,4.14,0.476,2.013,-0.166,-10.08,2.487,-0.215,86,0.210
13.03,4.86,0.478,2.035,-0.169,-9.91,2.511,-0.211,87,0.210
13.13,4.86,0.479,2.056,-0.173,-9.68,2.533,-0.213,88,0.213
13.23,5.22,0.478,2.077,-0.177,-9.45,2.553,-0.212,87,0.194
13.33,5.58,0.476,2.098,-0.180,-9.22,2.573,-0.210,86,0.200
13.43,5.40,0.474,2.119,-0.183,-9.00,2.592,-0.213,86,0.193
13.53,5.22,0.475,2.139,-0.187,-8.59,2.613,-0.215,86,0.213
13.63,5.04,0.477,2.160,-0.190,-8.37,2.636,-0.218,86,0.217
13.73,4.86,0.476,2.180,-0.193,-8.02,2.655,-0.219,87,0.191
13.83,4.50,0.474,2.201,-0.195,-7.79,2.674,-0.222,88,0.194
13.93,4.14,0.474,2.223,-0.198,-7.45,2.697,-0.225,88,0.213
14.03,3.78,0.473,2.244,-0.201,-7.16,2.716,-0.229,87,0.190
14.13,3.24,0.473,2.265,-0.204,-6.82,2.737,-0.234,87,0.208
14.23,3.06,0.471,2.285,-0.206,-6.59,2.755,-0.235,87,0.184
14.33,2.70,0.468,2.305,-0.208,-6.25,2.772,-0.237,87,0.189
14.43,2.16,0.470,2.324,-0.210,-5.96,2.793,-0.241,87,0.215
14.53,1.80,0.470,2.344,-0.212,-5.61,2.813,-0.243,87,0.193
14.63,1.44,0.472,2.363,-0.214,-5.27,2.834,-0.246,87,0.217
14.73,1.08,0.471,2.384,-0.216,-5.10,2.854,-0.249,87,0.187
14.83,0.72,0.469,2.405,-0.218,-4.81,2.873,-0.252,87,0.193
14.94,0.36,0.471,2.427,-0.220,-4.58,2.897,-0.255,86,0.215
15.04,0.00,0.475,2.448,-0.221,-4.30,2.921,-0.257,86,0.216
15.14,-0.36,0.475,2.468,-0.223,-3.95,2.942,-0.259,86,0.198
15.24,-0.72,0.475,2.489,-0.224,-3.72,2.963,-0.261,87,0.208
15.34,-1.26,0.475,2.510,-0.225,-3.55,2.984,-0.265,87,0.202
15.44,-1.62,0.476,2.532,-0.227,-3.32,3.007,-0.268,87,0.211
15.54,-2.34,0.476,2.553,-0.228,-3.15,3.027,-0.274,87,0.198
15.64,-2.88,0.476,2.574,-0.229,-2.98,3.047,-0.278,87,0.207
15.74,-3.24,0.474,2.595,-0.230,-2.92,3.066,-0.281,87,0.191
15.84,-3.96,0.472,2.616,-0.231,-2.81,3.085,-0.287,87,0.197
15.94,-4.32,0.472,2.637,-0.232,-2.81,3.105,-0.291,87,0.200
16.04,-4.68,0.475,2.658,-0.233,-2.69,3.129,-0.294,86,0.223
16.14,-5.04,0.473,2.677,-0.234,-2.81,3.145,-0.299,86,0.181
16.25,-5.04,0.475,2.697,-0.235,-2.81,3.168,-0.300,86,0.227
16.35,-5.40,0.477,2.718,-0.236,-2.98,3.190,-0.305,87,0.204
16.45,-5.58,0.475,2.740,-0.237,-3.09,3.209,-0.309,87,0.191
16.55,-5.58,0.478,2.762,-0.239,-3.27,3.235,-0.313,86,0.234
16.65,-5.58,0.479,2.783,-0.240,-3.67,3.255,-0.317,87,0.195
16.75,-5.76,0.477,2.804,-0.241,-3.90,3.274,-0.321,86,0.198
16.85,-5.40,0.476,2.827,-0.243,-4.41,3.297,-0.324,87,0.207
16.95,-5.22,0.474,2.849,-0.245,-4.76,3.316,-0.327,87,0.187
17.05,-4.68,0.476,2.870,-0.247,-5.10,3.339,-0.328,87,0.223
17.15,-4.50,0.473,2.889,-0.248,-5.50,3.355,-0.330,86,0.178
17.25,-3.96,0.471,2.909,-0.250,-5.79,3.373,-0.330,88,0.199
17.35,-3.60,0.470,2.930,-0.252,-6.19,3.393,-0.332,89,0.196
17.45,-3.60,0.472,2.950,-0.255,-6.47,3.415,-0.338,93,0.218
17.55,-3.06,0.474,2.969,-0.257,-6.82,3.436,-0.338,97,0.202
17.65,-2.70,0.473,2.990,-0.259,-7.10,3.456,-0.339,101,0.195
17.75,-2.16,0.461,3.010,-0.262,-7.51,3.465,-0.339,105,0.125
17.85,-1.80,0.442,3.031,-0.265,-7.73,3.467,-0.338,110,0.094
17.96,-1.44,0.424,3.050,-0.268,-8.31,3.467,-0.340,116,0.088
18.06,-1.08,0.403,3.066,-0.270,-8.59,3.464,-0.338,119,0.060
18.16,-0.36,0.384,3.077,-0.272,-8.71,3.456,-0.332,122,0.053
18.26,-0.18,0.364,3.083,-0.272,-8.88,3.443,-0.329,124,0.032
18.36,0.54,0.346,3.085,-0.273,-8.82,3.427,-0.323,125,0.025
18.46,1.08,0.330,3.086,-0.273,-8.88,3.413,-0.318,124,0.021
18.56,1.26,0.321,3.088,-0.273,-8.94,3.406,-0.316,126,0.046
