Time,Angle,Distance,Robot_X,Robot_Y,Robot_Heading_deg,Centroid_X,Centroid_Y,ClusterSize,Velocity_cmd
0.48,-0.72,0.501,0.000,0.000,0.00,0.501,-0.006,87,0.400
0.58,-0.72,0.501,0.000,0.000,0.00,0.501,-0.006,87,0.000
0.68,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
0.78,-0.72,0.499,0.000,0.000,0.00,0.499,-0.006,87,0.400
0.88,-0.72,0.499,0.000,0.000,0.00,0.499,-0.006,87,0.400
0.98,-0.72,0.499,0.000,0.000,0.00,0.499,-0.006,87,0.400
1.08,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
1.18,-0.72,0.501,0.000,0.000,0.00,0.501,-0.006,87,0.400
1.28,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
1.38,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
1.48,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
1.58,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
1.68,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
1.78,-0.72,0.499,0.000,0.000,0.00,0.499,-0.006,87,0.400
1.88,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
1.98,-0.72,0.499,0.000,0.000,0.00,0.499,-0.006,87,0.400
2.08,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
2.18,-0.72,0.501,0.000,0.000,0.00,0.501,-0.006,87,0.400
2.28,-0.72,0.500,0.000,0.000,0.00,0.500,-0.006,87,0.400
2.38,-0.72,0.500,0.000,0.000,-0.00,0.500,-0.006,87,0.400
2.48,-0.72,0.500,0.003,0.000,0.17,0.503,-0.005,87,0.400
2.58,-0.72,0.499,0.012,0.000,0.86,0.511,0.001,90,0.400
2.68,-0.72,0.499,0.037,0.001,2.52,0.536,0.017,95,0.400
2.78,-0.72,0.500,0.075,0.003,4.35,0.574,0.035,104,0.400
2.88,-0.72,0.494,0.122,0.007,5.67,0.615,0.050,115,0.400
2.98,-2.34,0.483,0.172,0.012,5.50,0.654,0.039,128,0.400
3.08,-16.13,0.319,0.224,0.017,4.07,0.536,-0.050,-1,0.400
3.08,-5.04,0.455,0.224,0.017,4.07,0.679,0.009,-1,0.391
3.18,-10.23,0.319,0.273,0.020,2.23,0.589,-0.024,-1,0.391
3.18,-8.46,0.417,0.273,0.020,2.23,0.688,-0.025,-1,0.261
3.38,-31.14,0.180,0.319,0.021,0.52,0.474,-0.070,66,0.000
3.39,-27.82,0.180,0.360,0.020,-1.09,0.517,-0.067,-1,0.000
3.39,-31.14,0.180,0.360,0.020,-1.09,0.512,-0.076,-1,0.000
3.43,-29.88,0.180,0.393,0.019,-2.35,0.545,-0.077,-1,0.000
3.43,-31.14,0.180,0.393,0.019,-2.35,0.543,-0.080,-1,0.000
3.54,-31.25,0.180,0.407,0.019,-2.23,0.557,-0.080,-1,0.000
3.54,-31.14,0.180,0.407,0.019,-2.23,0.557,-0.080,-1,0.000
3.63,-31.14,0.180,0.407,0.019,-2.23,0.557,-0.080,-1,0.000
3.63,-31.14,0.180,0.407,0.019,-2.23,0.557,-0.080,-1,0.000
3.73,-31.14,0.180,0.407,0.019,-2.23,0.557,-0.080,-1,0.000
3.73,-31.14,0.180,0.407,0.019,-2.23,0.557,-0.080,-1,0.000
3.84,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
3.93,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.03,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.14,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.23,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.33,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.44,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.53,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.63,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.73,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.84,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
4.93,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.03,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.14,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.23,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.33,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.43,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.53,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.63,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.73,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.83,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
5.93,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.03,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.12,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.23,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.33,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.42,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.53,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.63,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.72,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
6.83,-1.00,-1.000,0.000,0.000,0.00,0.000,0.000,-1,0.000
